10,7,-0- ,-0- ,"Panama",-0- 
15,12,-0- ,-0- ,"Panama",-0- 
22,14,-0- ,-0- ,-0- ,-0- 
24,15,-0- ,-0- ,-0- ,-0- 
25,16,"171 Old Bakery Street","Valletta","Malta",-0- 
36,25,-0- ,"Havana","Cuba",-0- 
39,27,-0- ,"Managua","Nicaragua",-0- 
41,29,"Bal Harbour Shopping Center, Via Italia","Panama City","Panama",-0- 
66,41,"Avenida de Concha, Espina 8, E-28036","Madrid","Spain",-0- 
137,102,-0- ,-0- ,-0- ,-0- 
150,111,-0- ,"Milan","Italy",-0- 
158,117,-0- ,-0- ,"Panama",-0- 
166,125,"1840 West 49th Street","Hialeah, FL","United States",-0- 
172,128,-0- ,-0- ,"Panama",-0- 
173,129,"Ibex House, The Minories","London  EC3N 1DY","United Kingdom",-0- 
224,164,"60 South Street","Valletta","Malta",-0- 
276,180,-0- ,"Colon Free Zone","Panama",-0- 
306,199,"Zweierstrasse 35","CH-8022 Zurich","Switzerland",-0- 
307,200,"Avenida de Concha Espina 8","E-28036 Madrid","Spain",-0- 
308,201,"Dai-Ichi Bldg. 6th Floor, 10-2 Nihombashi, 2-chome, Chuo-ku","Tokyo 103","Japan",-0- 
309,202,"Federico Boyd Avenue & 51 Street","Panama City","Panama",-0- 
342,222,-0- ,-0- ,"Panama",-0- 
350,228,"24 Corner Regent and Kings Streets","Belize City","Belize",-0- 
406,238,-0- ,-0- ,"Panama",-0- 
416,242,"1078 Rue Champigny, Duvernay","Quebec","Canada",-0- 
424,247,"42 Via Brasil","Panama City","Panama",-0- 
439,259,-0- ,-0- ,"Kuwait",-0- 
450,265,-0- ,-0- ,"Panama",-0- 
458,266,-0- ,-0- ,"Panama",-0- 
464,267,-0- ,-0- ,"Spain",-0- 
472,268,"125-133 Camden High Street","London  NW1 7JR","United Kingdom",-0- 
473,269,-0- ,-0- ,"Panama",-0- 
474,270,-0- ,-0- ,"Panama",-0- 
475,271,-0- ,-0- ,"Spain",-0- 
475,272,-0- ,-0- ,"Mexico",-0- 
476,273,-0- ,"Panama City","Panama",-0- 
477,274,-0- ,-0- ,-0- ,-0- 
479,275,-0- ,-0- ,"Panama",-0- 
480,276,-0- ,"Panama City","Panama",-0- 
520,306,-0- ,-0- ,"Panama",-0- 
521,307,"20 Ironmonger Lane","London  EC2V 8EY","United Kingdom",-0- 
528,312,-0- ,"Berlin Glinkastrasse 5  1080","Germany",-0- 
529,313,"123, Rue des Tennerolles, 92210 Saint-Cloud","Paris","France",-0- 
