"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"11/20/2012","1798 CAP/LOMBARD ASSET      ","040","AGO","B","150,000","13.31","7,500.00","0.000"
"04/17/2012","1798 CAP/LOMBARD ASSET      ","040","ASH","B","32,000","63.79","1,600.00","0.050"
"09/18/2012","1798 CAP/LOMBARD ASSET      ","040","ASH","S","21,500","74.80","1,075.00","0.000"
"10/15/2012","1798 CAP/LOMBARD ASSET      ","040","ASH","S","8,000","68.34","400.00","0.000"
"11/08/2012","1798 CAP/LOMBARD ASSET      ","040","AXL","B","15,000","10.09","750.00","0.000"
"11/12/2012","1798 CAP/LOMBARD ASSET      ","040","BZH","B","100,000","14.20","5,000.00","0.000"
"08/07/2012","1798 CAP/LOMBARD ASSET      ","040","COL","SS","5,000","50.97","250.00","0.050"
"11/08/2012","1798 CAP/LOMBARD ASSET      ","040","CXW","S","10,000","33.04","500.00","0.000"
"05/17/2012","1798 CAP/LOMBARD ASSET      ","040","DAL","S","300,000","10.56","15,000.00","0.050"
"11/08/2012","1798 CAP/LOMBARD ASSET      ","040","DD","SS","5,000","43.73","250.00","0.000"
"03/26/2012","1798 CAP/LOMBARD ASSET      ","040","DE","C","9,000","82.66","450.00","0.050"
"03/22/2012","1798 CAP/LOMBARD ASSET      ","040","EXP","B","50,000","35.42","2,500.00","0.050"
"03/22/2012","1798 CAP/LOMBARD ASSET      ","040","FDO","C","25,000","57.26","1,250.00","0.050"
"01/11/2012","1798 CAP/LOMBARD ASSET      ","040","GM","C","5,000","24.20","250.00","0.050"
"01/23/2012","1798 CAP/LOMBARD ASSET      ","040","HON","S","7,000","58.09","350.00","0.050"
"01/19/2012","1798 CAP/LOMBARD ASSET      ","040","HTZ","B","15,000","13.18","750.00","0.050"
"09/05/2012","1798 CAP/LOMBARD ASSET      ","040","HTZ","B","50,000","14.54","2,500.00","0.000"
"09/24/2012","1798 CAP/LOMBARD ASSET      ","040","HW","B","15,000","7.37","600.00","0.000"
"06/05/2012","1798 CAP/LOMBARD ASSET      ","040","JOE","SS","15,000","14.87","750.00","0.050"
"04/16/2012","1798 CAP/LOMBARD ASSET      ","040","KWK","SS","10,000","4.04","300.00","0.030"
"09/24/2012","1798 CAP/LOMBARD ASSET      ","040","LEN","S","77,000","37.13","3,850.00","0.000"
"11/08/2012","1798 CAP/LOMBARD ASSET      ","040","MAR","SS","185,000","35.47","9,250.00","0.000"
"02/28/2012","1798 CAP/LOMBARD ASSET      ","040","MPC","S","22,000","42.18","1,100.00","0.050"
"01/19/2012","1798 CAP/LOMBARD ASSET      ","040","PH","C","6,000","85.18","300.00","0.050"
"11/12/2012","1798 CAP/LOMBARD ASSET      ","040","PH","C","13,000","79.15","650.00","0.000"
"11/08/2012","1798 CAP/LOMBARD ASSET      ","040","PH","SS","3,000","79.14","150.00","0.000"
"11/08/2012","1798 CAP/LOMBARD ASSET      ","040","PHH","S","25,000","19.68","1,250.00","0.000"
"08/27/2012","1798 CAP/LOMBARD ASSET      ","040","PHM","B","30,000","13.61","1,500.00","0.000"
"09/24/2012","1798 CAP/LOMBARD ASSET      ","040","PHM","S","35,000","16.71","1,750.00","0.000"
"01/26/2012","1798 CAP/LOMBARD ASSET      ","040","PNR","SS","20,000","36.92","1,000.00","0.050"
"07/19/2012","1798 CAP/LOMBARD ASSET      ","040","POT","C","12,500","45.38","625.00","0.050"
"09/24/2012","1798 CAP/LOMBARD ASSET      ","040","RKT","S","30,000","73.06","1,500.00","0.000"
"12/07/2012","1798 CAP/LOMBARD ASSET      ","040","SPW","S","10,000","67.61","500.00","0.000"
"02/09/2012","1798 CAP/LOMBARD ASSET      ","040","TKR","S","7,500","51.20","375.00","0.050"
"05/11/2012","1798 CAP/LOMBARD ASSET      ","040","TWI","B","35,000","26.72","1,750.00","0.050"
"06/08/2012","1798 CAP/LOMBARD ASSET      ","040","TWI","B","20,000","21.59","1,000.00","0.050"
"12/07/2012","1798 CAP/LOMBARD ASSET      ","040","TWI","S","5,000","20.84","250.00","0.000"
"05/17/2012","1798 CAP/LOMBARD ASSET      ","040","UAL","S","102,300","22.26","5,115.00","0.050"
"11/08/2012","1798 CAP/LOMBARD ASSET      ","040","URI","S","5,000","38.65","250.00","0.000"
"04/04/2012","1798 CAP/LOMBARD ASSET      ","040","WNC","S","15,000","9.80","600.00","0.040"
"05/17/2012","1798 CAP/LOMBARD ASSET      ","040","WNC","S","30,000","6.77","1,200.00","0.040"
"10/25/2012","ADAGE CAPITAL MGMT      ","030","ADM","S","40,000","26.94","1,200.00","0.030"
"05/22/2012","ADAGE CAPITAL MGMT      ","030","AEO","B","95,418","19.95","2,862.54","0.030"
"11/14/2012","ADAGE CAPITAL MGMT      ","030","AEO","B","100,000","19.64","3,000.00","0.030"
"04/09/2012","ADAGE CAPITAL MGMT      ","030","AEO","S","150,000","16.89","4,500.00","0.030"
"05/01/2012","ADAGE CAPITAL MGMT      ","030","AEO","S","129,100","18.23","3,873.00","0.030"
"05/02/2012","ADAGE CAPITAL MGMT      ","030","AEO","S","192,088","20.00","5,762.64","0.030"
"05/01/2012","ADAGE CAPITAL MGMT      ","030","ANF","B","62,138","52.53","1,864.14","0.030"
"04/30/2012","ADAGE CAPITAL MGMT      ","030","ARO","B","150,000","22.24","4,500.00","0.030"
"05/24/2012","ADAGE CAPITAL MGMT      ","030","ARO","B","100,000","19.02","3,000.00","0.030"
"11/05/2012","ADAGE CAPITAL MGMT      ","030","BKE","B","40,000","47.04","1,200.00","0.030"
"11/20/2012","ADAGE CAPITAL MGMT      ","030","CHS","SS","160,000","17.91","4,800.00","0.000"
"11/21/2012","ADAGE CAPITAL MGMT      ","030","CHS","SS","166,556","18.39","4,996.68","0.030"
"11/01/2012","ADAGE CAPITAL MGMT      ","030","ETN","B","64,803","48.65","1,944.09","0.000"
"11/14/2012","ADAGE CAPITAL MGMT      ","030","EXPR","B","365,000","10.76","10,950.00","0.030"
"11/19/2012","ADAGE CAPITAL MGMT      ","030","EXPR","B","134,334","11.26","4,030.02","0.030"
