"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"03/29/2011","ADALY INV MGMT          ","031","BAC","S","25,000","13.22","750.00","0.030"
"08/15/2011","ADALY INV MGMT          ","031","CBT","B","6,400","33.68","320.00","0.050"
"12/15/2011","ADALY INV MGMT          ","031","CDE","SS","35,000","24.81","1,575.00","0.045"
"12/01/2011","ADALY INV MGMT          ","031","CMA","S","25,000","25.10","1,250.00","0.050"
"05/09/2011","ADALY INV MGMT          ","031","DF","S","14,300","10.88","429.00","0.030"
"12/13/2011","ADALY INV MGMT          ","031","GDXJ","SS","2,300","26.50","115.00","0.050"
"07/13/2011","ADALY INV MGMT          ","031","GLD","B","25,000","153.76","1,250.00","0.050"
"02/08/2011","ADALY INV MGMT          ","031","GLD","S","22,200","132.91","1,554.00","0.070"
"06/23/2011","ADALY INV MGMT          ","031","KSS","B","30,000","51.02","1,500.00","0.050"
"06/24/2011","ADALY INV MGMT          ","031","KSS","B","10,000","50.03","500.00","0.050"
"07/05/2011","ADALY INV MGMT          ","031","LEA","B","15,900","53.45","795.00","0.050"
"03/15/2011","ADALY INV MGMT          ","031","QQQQ","B","20,000","55.66","1,000.00","0.050"
"06/24/2011","ADALY INV MGMT          ","031","QUAD","B","10,000","38.33","500.00","0.050"
"01/05/2011","ADALY INV MGMT          ","031","SLM","B","40,000","12.84","1,600.00","0.040"
"11/02/2011","ADALY INV MGMT          ","031","SPY","B","15,000","123.60","900.00","0.060"
"11/28/2011","ADALY INV MGMT          ","031","SPY","SS","23,000","119.77","1,380.00","0.060"
"08/16/2011","ADALY INV MGMT          ","031","XLE","SS","25,000","67.78","1,250.00","0.050"
"03/22/2011","ADALY INV MGMT          ","031","YHOO","B","24,000","16.20","840.00","0.035"
"01/11/2011","BAIRD INVESTMENT        ","047","AA","B","400","16.27","20.00","0.050"
"12/13/2011","BAIRD INVESTMENT        ","047","AAPL","B","745","392.95","37.25","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","BBY","S","300","36.04","15.00","0.050"
"05/09/2011","BAIRD INVESTMENT        ","047","CAT","B","5,300","112.15","265.00","0.050"
"06/29/2011","BAIRD INVESTMENT        ","047","CLB","B","1,994","110.78","99.70","0.050"
"07/21/2011","BAIRD INVESTMENT        ","047","CLB","B","2,585","108.62","129.25","0.050"
"12/09/2011","BAIRD INVESTMENT        ","047","CLB","S","3,102","115.19","155.10","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","COH","B","9,500","53.98","475.00","0.050"
"03/03/2011","BAIRD INVESTMENT        ","047","COH","B","6,350","55.34","317.50","0.050"
"03/14/2011","BAIRD INVESTMENT        ","047","COH","S","12,975","53.07","648.75","0.050"
"03/04/2011","BAIRD INVESTMENT        ","047","CVE","S","23,800","39.41","1,190.00","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","DD","B","200","49.25","10.00","0.050"
"08/19/2011","BAIRD INVESTMENT        ","047","DG","B","16,025","32.22","801.25","0.050"
"08/19/2011","BAIRD INVESTMENT        ","047","ECL","B","23,225","44.59","1,161.25","0.050"
"06/29/2011","BAIRD INVESTMENT        ","047","EOG","S","5,239","103.52","261.95","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","EXPR","B","300","18.51","15.00","0.050"
"01/03/2011","BAIRD INVESTMENT        ","047","FCX","S","5,875","121.60","293.75","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","FLIR","B","100","28.94","5.00","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","FTR","B","300","9.46","15.00","0.050"
"05/19/2011","BAIRD INVESTMENT        ","047","GLW","S","40,275","20.07","2,013.75","0.050"
"03/04/2011","BAIRD INVESTMENT        ","047","HOG","B","10,875","40.06","543.75","0.050"
"01/26/2011","BAIRD INVESTMENT        ","047","JCI","B","1,975","38.96","98.75","0.050"
"01/26/2011","BAIRD INVESTMENT        ","047","JOYG","B","12,750","88.34","637.50","0.050"
"01/03/2011","BAIRD INVESTMENT        ","047","JOYG","S","9,900","88.60","495.00","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","KFT","B","300","31.44","15.00","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","KO","B","200","63.09","10.00","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","MI","S","1,500","7.04","75.00","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","MMI","B","300","32.04","15.00","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","NAT","B","200","26.44","10.00","0.050"
"06/29/2011","BAIRD INVESTMENT        ","047","NBL","B","2,025","90.39","101.25","0.050"
"01/28/2011","BAIRD INVESTMENT        ","047","NDN","S","21,117","15.00","1,055.85","0.050"
"02/03/2011","BAIRD INVESTMENT        ","047","NDN","S","117,948","15.07","5,897.40","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","NUE","B","200","44.11","10.00","0.050"
"12/15/2011","BAIRD INVESTMENT        ","047","OXY","S","6,365","88.75","318.25","0.050"
"01/26/2011","BAIRD INVESTMENT        ","047","PCAR","B","6,150","56.49","307.50","0.050"
"02/07/2011","BAIRD INVESTMENT        ","047","PCAR","B","7,825","51.31","391.25","0.050"
"12/15/2011","BAIRD INVESTMENT        ","047","PCAR","S","9,295","36.56","464.75","0.050"
"08/09/2011","BAIRD INVESTMENT        ","047","PCP","B","1,404","144.91","70.20","0.050"
"01/27/2011","BAIRD INVESTMENT        ","047","PX","B","2,800","91.81","140.00","0.050"
"07/28/2011","BAIRD INVESTMENT        ","047","RDC","B","8,300","39.52","415.00","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","ROK","B","7,500","72.24","375.00","0.050"
"01/26/2011","BAIRD INVESTMENT        ","047","RVBD","B","33,150","34.03","1,657.50","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","SBUX","B","200","32.68","10.00","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","SID","B","400","17.71","20.00","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","T","B","100","28.02","5.00","0.050"
"06/29/2011","BAIRD INVESTMENT        ","047","TDW","B","5,175","53.69","258.75","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","TEVA","B","200","53.97","10.00","0.050"
"03/04/2011","BAIRD INVESTMENT        ","047","VAR","B","4,600","70.94","230.00","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","VZ","B","100","35.46","5.00","0.050"
"08/05/2011","BAIRD INVESTMENT        ","047","WBC","B","10,725","51.75","536.25","0.050"
"01/03/2011","BAIRD INVESTMENT        ","047","WBC","S","3,375","60.99","168.75","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","WIN","B","200","13.22","10.00","0.050"
"07/20/2011","BAIRD INVESTMENT        ","047","WLL","B","20,825","61.45","1,041.25","0.050"
"07/28/2011","BAIRD INVESTMENT        ","047","WLL","B","6,925","56.95","346.25","0.050"
"01/11/2011","BAIRD INVESTMENT        ","047","YUM","B","200","49.61","10.00","0.050"
"03/08/2011","BARROW HANLEY MEWHINNEY ","031","AMAT","B","247,300","15.75","8,655.50","0.035"
"02/22/2011","BARROW HANLEY MEWHINNEY ","031","BAX","B","25,000","52.70","875.00","0.035"
"06/24/2011","BARROW HANLEY MEWHINNEY ","031","C","B","163,000","39.07","5,705.00","0.035"
"08/04/2011","BARROW HANLEY MEWHINNEY ","031","CCL","B","202,500","30.78","7,087.50","0.035"
"03/08/2011","BARROW HANLEY MEWHINNEY ","031","DD","S","60,580","53.45","2,120.30","0.035"
"05/02/2011","BARROW HANLEY MEWHINNEY ","031","DD","S","250,000","56.23","8,750.00","0.035"
"05/03/2011","BARROW HANLEY MEWHINNEY ","031","DD","S","200,000","55.96","7,000.00","0.035"
"09/21/2011","BARROW HANLEY MEWHINNEY ","031","EMR","B","21,700","45.23","759.50","0.035"
"04/01/2011","BARROW HANLEY MEWHINNEY ","031","FDO","S","52,500","51.71","1,837.50","0.035"
"02/07/2011","BARROW HANLEY MEWHINNEY ","031","GE","B","61,000","20.97","2,135.00","0.035"
"02/22/2011","BARROW HANLEY MEWHINNEY ","031","HD","S","150,900","38.56","5,281.50","0.035"
"07/27/2011","BARROW HANLEY MEWHINNEY ","031","HPQ","B","108,800","36.63","3,808.00","0.035"
"09/21/2011","BARROW HANLEY MEWHINNEY ","031","HPQ","S","73,400","22.28","2,569.00","0.035"
"09/23/2011","BARROW HANLEY MEWHINNEY ","031","HPQ","S","296,200","21.85","10,367.00","0.035"
"09/30/2011","BARROW HANLEY MEWHINNEY ","031","INTC","S","181,400","21.87","6,349.00","0.035"
"11/30/2011","BARROW HANLEY MEWHINNEY ","031","INTC","S","172,000","24.84","6,020.00","0.035"
"02/22/2011","BARROW HANLEY MEWHINNEY ","031","JNJ","B","17,000","60.94","595.00","0.035"
"03/08/2011","BARROW HANLEY MEWHINNEY ","031","JNJ","B","53,790","60.57","1,882.65","0.035"
"09/21/2011","BARROW HANLEY MEWHINNEY ","031","LLL","S","15,800","63.18","553.00","0.035"
"02/07/2011","BARROW HANLEY MEWHINNEY ","031","MDT","B","32,400","39.50","1,134.00","0.035"
"04/12/2011","BARROW HANLEY MEWHINNEY ","031","MDT","B","206,000","40.28","7,210.00","0.035"
"04/13/2011","BARROW HANLEY MEWHINNEY ","031","MDT","B","49,000","40.12","1,715.00","0.035"
"06/30/2011","BARROW HANLEY MEWHINNEY ","031","MDT","B","88,000","38.65","3,080.00","0.035"
"07/27/2011","BARROW HANLEY MEWHINNEY ","031","MDT","B","108,000","35.99","3,780.00","0.035"
"09/21/2011","BARROW HANLEY MEWHINNEY ","031","MSFT","B","60,500","26.50","2,117.50","0.035"
"05/05/2011","BARROW HANLEY MEWHINNEY ","031","PDCO","S","22,800","35.00","798.00","0.035"
"05/06/2011","BARROW HANLEY MEWHINNEY ","031","PDCO","S","70,925","35.10","2,482.38","0.035"
"06/29/2011","BARROW HANLEY MEWHINNEY ","031","PFE","B","166,500","20.52","5,827.50","0.035"
"03/08/2011","BARROW HANLEY MEWHINNEY ","031","PNC","B","52,345","62.71","1,832.07","0.035"
"02/14/2011","BARROW HANLEY MEWHINNEY ","031","SEE","B","99,700","28.48","3,489.50","0.035"
"08/23/2011","BARROW HANLEY MEWHINNEY ","031","SLM","B","178,200","13.35","6,237.00","0.035"
"03/08/2011","BARROW HANLEY MEWHINNEY ","031","SPIL","B","203,600","6.69","7,126.00","0.035"
"08/23/2011","BARROW HANLEY MEWHINNEY ","031","T","B","294,400","28.76","10,304.00","0.035"
"06/30/2011","BARROW HANLEY MEWHINNEY ","031","TGT","B","276,500","46.75","9,677.50","0.035"
"06/24/2011","BARROW HANLEY MEWHINNEY ","031","UNH","S","800","50.36","28.00","0.035"
"06/30/2011","BARROW HANLEY MEWHINNEY ","031","VOD","B","204,500","26.74","7,157.50","0.035"
"04/01/2011","BARROW HANLEY MEWHINNEY ","031","VZ","S","150,900","38.38","5,281.50","0.035"
"08/08/2011","BARROW HANLEY MEWHINNEY ","031","VZ","S","50,700","33.95","1,774.50","0.035"
"08/23/2011","BARROW HANLEY MEWHINNEY ","031","WAG","B","63,440","34.53","2,220.41","0.035"
"08/08/2011","BARROW HANLEY MEWHINNEY ","031","WFC","B","335,800","24.67","11,753.00","0.035"
"07/28/2011","BNP PARIBAS SEC         ","040","AGCO","B","10,000","48.23","500.00","0.050"
