"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"06/08/2011","ACK ASSET               ","028","ANF","B","20,000","67.62","600.00","0.030"
"10/05/2011","ACK ASSET               ","028","CFX","SS","70,000","19.88","2,100.00","0.030"
"10/05/2011","ACK ASSET               ","028","CMI","B","26,402","86.71","792.06","0.030"
"09/08/2011","ACK ASSET               ","028","CP","S","13,300","54.48","399.00","0.030"
"05/04/2011","ACK ASSET               ","028","CP","SS","18,000","65.37","540.00","0.030"
"12/07/2011","ACK ASSET               ","028","CSX","SS","70,000","21.41","2,100.00","0.030"
"12/08/2011","ACK ASSET               ","028","CSX","SS","70,000","21.14","2,100.00","0.030"
"12/12/2011","ACK ASSET               ","028","CSX","SS","70,000","20.71","2,100.00","0.030"
"08/12/2011","ACK ASSET               ","028","DAN","B","100,000","13.99","3,000.00","0.030"
"09/14/2011","ACK ASSET               ","028","DAN","B","32,500","12.26","975.00","0.030"
"09/16/2011","ACK ASSET               ","028","DAN","B","98,200","12.93","2,946.00","0.030"
"10/18/2011","ACK ASSET               ","028","DAN","B","125,000","13.33","3,750.00","0.030"
"10/21/2011","ACK ASSET               ","028","DAN","B","100,000","13.52","3,000.00","0.030"
"10/24/2011","ACK ASSET               ","028","DAN","B","171,500","14.27","5,145.00","0.030"
"10/27/2011","ACK ASSET               ","028","DAN","B","95,000","14.56","2,850.00","0.030"
"01/28/2011","ACK ASSET               ","028","HBI","B","47,000","22.55","1,410.00","0.030"
"03/09/2011","ACK ASSET               ","028","HBI","B","50,000","25.75","1,500.00","0.030"
"03/16/2011","ACK ASSET               ","028","HBI","B","50,000","26.13","1,500.00","0.030"
"03/28/2011","ACK ASSET               ","028","HBI","B","52,000","26.26","1,560.00","0.030"
"08/05/2011","ACK ASSET               ","028","HBI","B","6,900","27.32","207.00","0.030"
"02/11/2011","ACK ASSET               ","028","HBI","S","1,500","25.84","45.00","0.030"
"02/15/2011","ACK ASSET               ","028","HBI","S","32,200","25.02","966.00","0.030"
"03/02/2011","ACK ASSET               ","028","HBI","S","60,121","25.20","1,803.63","0.030"
"05/25/2011","ACK ASSET               ","028","IWM","B","50,000","82.06","1,500.00","0.030"
"07/14/2011","ACK ASSET               ","028","IWM","SS","21,800","82.32","654.00","0.030"
"04/25/2011","ACK ASSET               ","028","IWN","B","32,800","74.67","984.00","0.030"
"04/25/2011","ACK ASSET               ","028","IWO","B","25,000","96.33","750.00","0.030"
"10/04/2011","ACK ASSET               ","028","KSS","SS","28,000","48.67","840.00","0.030"
"09/14/2011","ACK ASSET               ","028","MAT","S","53,000","26.47","1,590.00","0.030"
"11/04/2011","ACK ASSET               ","028","URBN","SS","55,000","26.36","1,650.00","0.030"
"09/13/2011","ACK ASSET               ","028","WBC","B","60,000","47.34","1,800.00","0.030"
"05/19/2011","ACK ASSET               ","028","WRC","B","25,000","57.15","750.00","0.030"
"06/10/2011","ACK ASSET               ","028","WRC","S","25,000","47.60","750.00","0.030"
"04/21/2011","AELTUS/ING IVESTMENT MGT","215","IDA","B","6,300","38.07","220.50","0.035"
"04/21/2011","AELTUS/ING IVESTMENT MGT","215","NAT","B","19,500","22.16","682.50","0.035"
"04/21/2011","AELTUS/ING IVESTMENT MGT","215","WCN","B","12,300","29.79","430.50","0.035"
"11/07/2011","AVENUE CAPITAL MGMT     ","070","ABH","B","85,000","15.88","2,550.00","0.030"
"08/24/2011","AVENUE CAPITAL MGMT     ","070","DYN","S","101,780","3.89","3,053.40","0.030"
"01/11/2011","AVENUE CAPITAL MGMT     ","070","HAR","S","100,000","45.42","4,000.00","0.040"
"02/01/2011","AVENUE CAPITAL MGMT     ","070","LCC","S","400,000","10.00","12,000.00","0.030"
"04/07/2011","AVENUE CAPITAL MGMT     ","070","LEA","S","50,000","48.18","2,000.00","0.040"
"02/28/2011","AVENUE CAPITAL MGMT     ","070","TRW","S","25,000","57.26","1,000.00","0.040"
"03/02/2011","AVENUE CAPITAL MGMT     ","070","TRW","S","25,000","57.19","1,000.00","0.040"
"04/13/2011","AVENUE CAPITAL MGMT     ","070","TRW","S","75,000","51.20","3,000.00","0.040"
"09/12/2011","BASSWOOD PARTNERS","267","AXP","C","17,300","46.54","692.00","0.040"
"10/18/2011","BASSWOOD PARTNERS","267","AXP","C","16,600","46.51","664.00","0.040"
"02/09/2011","BASSWOOD PARTNERS","267","BANR","B","70,300","2.43","1,406.00","0.020"
"09/26/2011","BASSWOOD PARTNERS","267","BK","B","137,500","18.66","5,500.00","0.040"
"10/27/2011","BASSWOOD PARTNERS","267","BK","S","120,200","21.82","4,808.00","0.040"
