"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"01/19/2012","ARMATURE CAPITAL        ","041","BA","S","50,000","75.69","2,000.00","0.040"
"06/05/2012","ARMATURE CAPITAL        ","041","BMS","B","50,000","30.08","2,000.00","0.040"
"09/07/2012","ARMATURE CAPITAL        ","041","BMS","SS","60,000","30.72","2,400.00","0.000"
"11/30/2012","ARMATURE CAPITAL        ","041","BMS","SS","25,000","33.57","1,000.00","0.000"
"03/27/2012","ARMATURE CAPITAL        ","041","CAT","S","21,760","108.59","870.40","0.040"
"03/27/2012","ARMATURE CAPITAL        ","041","CAT","SS","28,240","108.61","1,129.60","0.040"
"04/05/2012","ARMATURE CAPITAL        ","041","DAN","S","7,000","15.34","280.00","0.040"
"04/05/2012","ARMATURE CAPITAL        ","041","DAN","SS","68,000","15.34","2,720.00","0.040"
"09/20/2012","ARMATURE CAPITAL        ","041","DAN","SS","100,000","13.16","4,000.00","0.000"
"03/29/2012","ARMATURE CAPITAL        ","041","DVN","B","20,000","69.76","800.00","0.040"
"12/28/2012","ARMATURE CAPITAL        ","041","F","S","100,000","12.62","4,000.00","0.000"
"02/17/2012","ARMATURE CAPITAL        ","041","GT","B","50,000","13.46","2,000.00","0.040"
"09/20/2012","ARMATURE CAPITAL        ","041","GT","B","25,000","13.16","1,000.00","0.000"
"10/19/2012","ARMATURE CAPITAL        ","041","GT","S","50,000","12.39","2,000.00","0.000"
"04/05/2012","ARMATURE CAPITAL        ","041","HAR","B","30,000","47.30","1,200.00","0.040"
"05/29/2012","ARMATURE CAPITAL        ","041","HAR","S","50,000","41.27","2,000.00","0.040"
"02/14/2012","ARMATURE CAPITAL        ","041","IP","B","39,000","32.97","1,560.00","0.040"
"05/14/2012","ARMATURE CAPITAL        ","041","IP","B","25,000","30.85","1,000.00","0.040"
"05/21/2012","ARMATURE CAPITAL        ","041","IP","B","50,000","29.60","2,000.00","0.040"
"07/17/2012","ARMATURE CAPITAL        ","041","IP","B","50,000","32.19","2,000.00","0.040"
"07/26/2012","ARMATURE CAPITAL        ","041","IP","B","25,000","32.49","1,000.00","0.040"
"09/06/2012","ARMATURE CAPITAL        ","041","IP","B","25,000","35.64","1,000.00","0.000"
"09/19/2012","ARMATURE CAPITAL        ","041","IP","B","30,000","34.20","1,200.00","0.000"
"11/13/2012","ARMATURE CAPITAL        ","041","IP","B","20,000","34.48","800.00","0.000"
"11/27/2012","ARMATURE CAPITAL        ","041","IP","B","25,000","36.12","1,000.00","0.000"
"12/31/2012","ARMATURE CAPITAL        ","041","IP","B","25,000","39.65","1,000.00","0.000"
"03/07/2012","ARMATURE CAPITAL        ","041","IP","S","50,000","34.69","2,000.00","0.040"
"06/15/2012","ARMATURE CAPITAL        ","041","IP","S","50,000","28.71","2,000.00","0.040"
"08/02/2012","ARMATURE CAPITAL        ","041","IP","S","30,000","31.79","1,200.00","0.040"
"10/17/2012","ARMATURE CAPITAL        ","041","IP","S","60,000","37.48","2,400.00","0.000"
"10/23/2012","ARMATURE CAPITAL        ","041","IP","S","30,000","36.80","1,200.00","0.000"
"11/30/2012","ARMATURE CAPITAL        ","041","IP","S","50,000","37.09","2,000.00","0.000"
"01/03/2012","ARMATURE CAPITAL        ","041","JCI","B","35,000","32.28","1,400.00","0.040"
"04/02/2012","ARMATURE CAPITAL        ","041","MWV","B","50,000","31.62","2,000.00","0.040"
"04/30/2012","ARMATURE CAPITAL        ","041","MWV","B","105,000","31.72","4,200.00","0.040"
"12/03/2012","ARMATURE CAPITAL        ","041","MWV","B","25,000","30.80","1,000.00","0.000"
"12/06/2012","ARMATURE CAPITAL        ","041","MWV","B","50,000","30.47","2,000.00","0.000"
