"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"01/11/2013","ACK ASSET               ","028","DAN","S","305,500","15.49","9,165.00","0.000"
"01/16/2013","BASSWOOD PARTNERS","267","BK","B","33,900","25.95","1,356.00","0.000"
"12/27/2012","BASSWOOD PARTNERS","267","MS","S","39,400","18.52","1,576.00","0.000"
"01/10/2013","BRANDWINE               ","028","BK","S","136,000","26.75","5,440.00","0.000"
"01/11/2013","BRANDWINE               ","028","BK","S","128,000","26.60","5,120.00","0.000"
"01/15/2013","COLUMBUS CIRCLE         ","036","ACIW","S","2,327","45.66","93.08","0.000"
"01/16/2013","COLUMBUS CIRCLE         ","036","ACIW","S","5,734","45.02","229.36","0.000"
"01/17/2013","COLUMBUS CIRCLE         ","036","ACIW","S","3,798","45.87","151.92","0.000"
"01/15/2013","COLUMBUS CIRCLE         ","036","BKD","B","7,435","27.39","297.40","0.000"
"01/07/2013","COLUMBUS CIRCLE         ","036","FIO","S","29,608","21.82","1,166.66","0.000"
"01/08/2013","COLUMBUS CIRCLE         ","036","FIO","S","22,300","19.37","892.00","0.000"
"01/03/2013","COLUMBUS CIRCLE         ","036","HAIN","S","10,914","54.16","436.56","0.000"
"01/02/2013","COLUMBUS CIRCLE         ","036","HURN","S","2,000","32.88","80.00","0.000"
"01/14/2013","COLUMBUS CIRCLE         ","036","ICLR","B","5,880","28.92","235.20","0.000"
"01/07/2013","COLUMBUS CIRCLE         ","036","LPX","S","8,300","20.24","332.00","0.000"
"12/31/2012","COLUMBUS CIRCLE         ","036","PPG","B","1,300","134.79","52.00","0.000"
"01/22/2013","COLUMBUS CIRCLE         ","036","SHOO","B","4,300","46.48","172.00","0.000"
"01/16/2013","COLUMBUS CIRCLE         ","036","TNGO","S","4,100","14.61","164.00","0.000"
"01/14/2013","COLUMBUS CIRCLE         ","036","VAC","B","1,884","43.70","75.36","0.000"
"01/15/2013","COLUMBUS CIRCLE         ","036","VAC","B","1,016","43.99","40.64","0.000"
"01/15/2013","COLUMBUS CIRCLE         ","036","XXIA","B","13,403","20.07","536.12","0.000"
"01/07/2013","COOPER CREEK PART       ","028","FINL","B","20,000","17.52","800.00","0.040"
"01/09/2013","COOPER CREEK PART       ","028","FINL","B","6,091","17.32","243.64","0.040"
"01/10/2013","COOPER CREEK PART       ","028","FINL","B","7,177","17.30","287.08","0.040"
"01/11/2013","COOPER CREEK PART       ","028","FINL","B","10,000","17.28","400.00","0.040"
"01/14/2013","COOPER CREEK PART       ","028","FINL","B","10,000","17.14","400.00","0.040"
"01/14/2013","CYRUS CAPITAL","025","UAL","B","100,000","25.96","3,000.00","0.030"
"01/14/2013","FEDERATED INV/KAUFMAN   ","029","GM","B","500,000","30.23","25,000.00","0.000"
"01/03/2013","GEORGE WEISS            ","034","AXL","S","5,000","12.11","200.00","0.000"
"01/22/2013","GEORGE WEISS            ","278","AXL","S","20,000","11.39","800.00","0.000"
"01/10/2013","GEORGE WEISS            ","278","DAN","S","25,300","15.74","1,012.00","0.000"
