"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"12/05/2011","11:11 CAPITAL CORP      ","046","IWM","B","45,000","74.69","1,350.00","0.030"
"12/05/2011","11:11 CAPITAL CORP      ","046","JNJ","B","15,000","63.50","600.00","0.040"
"01/31/2011","ARMATURE CAPITAL        ","041","ADM","B","40,000","33.07","1,600.00","0.040"
"12/05/2011","ARMATURE CAPITAL        ","041","AGCO","B","20,000","46.05","800.00","0.040"
"05/03/2011","ARMATURE CAPITAL        ","041","AGCO","SS","25,000","56.29","1,000.00","0.040"
"02/23/2011","ARMATURE CAPITAL        ","041","ALV","B","20,000","72.16","800.00","0.040"
"04/19/2011","ARMATURE CAPITAL        ","041","ALV","B","30,000","72.26","1,200.00","0.040"
"06/02/2011","ARMATURE CAPITAL        ","041","ALV","B","40,000","73.76","1,600.00","0.040"
"04/20/2011","ARMATURE CAPITAL        ","041","ALV","SS","25,000","78.03","1,000.00","0.040"
"05/05/2011","ARMATURE CAPITAL        ","041","ALV","SS","10,000","77.11","400.00","0.040"
"05/25/2011","ARMATURE CAPITAL        ","041","ALV","SS","10,000","73.92","400.00","0.040"
"06/07/2011","ARMATURE CAPITAL        ","041","ALV","SS","30,000","73.08","1,200.00","0.040"
"10/03/2011","ARMATURE CAPITAL        ","041","AVY","SS","50,000","24.20","2,000.00","0.040"
"07/13/2011","ARMATURE CAPITAL        ","041","AXL","B","100,000","11.27","4,000.00","0.040"
"08/17/2011","ARMATURE CAPITAL        ","041","AXL","B","100,000","9.43","4,000.00","0.040"
"09/07/2011","ARMATURE CAPITAL        ","041","BLL","S","24,829","35.28","993.16","0.040"
"09/07/2011","ARMATURE CAPITAL        ","041","BLL","SS","25,171","35.28","1,006.84","0.040"
"12/14/2011","ARMATURE CAPITAL        ","041","CAT","S","25,000","87.02","1,000.00","0.040"
"03/11/2011","ARMATURE CAPITAL        ","041","CBI","S","30,000","35.36","1,200.00","0.040"
"04/11/2011","ARMATURE CAPITAL        ","041","CCK","B","30,000","37.92","1,200.00","0.040"
"10/05/2011","ARMATURE CAPITAL        ","041","DAN","B","100,000","11.32","4,000.00","0.040"
"10/25/2011","ARMATURE CAPITAL        ","041","DAN","S","60,000","13.85","2,400.00","0.040"
"10/27/2011","ARMATURE CAPITAL        ","041","DAN","S","50,000","15.03","2,000.00","0.040"
"03/09/2011","ARMATURE CAPITAL        ","041","DE","SS","25,000","89.69","1,000.00","0.040"
"09/14/2011","ARMATURE CAPITAL        ","041","DE","SS","20,000","77.15","800.00","0.040"
