"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"07/16/2013","PATTEN & PATTEN         ","025","AA","S","150","8.09","7.50","0.050"
"07/18/2013","PATTEN & PATTEN         ","025","AA","S","854","8.21","42.70","0.050"
"07/19/2013","PATTEN & PATTEN         ","025","AA","S","4,250","8.11","212.50","0.050"
"07/22/2013","PATTEN & PATTEN         ","025","AA","S","31,500","8.10","1,575.00","0.050"
"07/23/2013","PATTEN & PATTEN         ","025","AA","S","4,000","8.13","200.00","0.050"
"07/24/2013","PATTEN & PATTEN         ","025","AA","S","22,000","8.02","1,100.00","0.050"
"07/26/2013","PATTEN & PATTEN         ","025","AA","S","5,000","8.07","250.00","0.050"
"08/05/2013","PATTEN & PATTEN         ","025","AA","S","10,000","7.97","500.00","0.050"
"08/12/2013","PATTEN & PATTEN         ","025","AA","S","2,000","8.25","100.00","0.050"
"08/29/2013","PATTEN & PATTEN         ","025","AA","S","600","7.92","30.00","0.050"
"06/04/2013","PATTEN & PATTEN         ","025","AAPL","B","10","453.09","0.50","0.050"
"07/15/2013","PATTEN & PATTEN         ","025","AAPL","B","30","428.98","1.50","0.050"
"07/22/2013","PATTEN & PATTEN         ","025","AAPL","B","40","427.14","2.00","0.050"
"07/23/2013","PATTEN & PATTEN         ","025","AAPL","B","10","422.72","0.50","0.050"
"07/31/2013","PATTEN & PATTEN         ","025","AAPL","B","5","450.89","0.25","0.050"
"08/06/2013","PATTEN & PATTEN         ","025","AAPL","B","10","467.30","0.50","0.050"
"08/09/2013","PATTEN & PATTEN         ","025","AAPL","B","5","455.60","0.25","0.050"
"08/12/2013","PATTEN & PATTEN         ","025","AAPL","B","100","467.13","5.00","0.050"
"08/29/2013","PATTEN & PATTEN         ","025","AAPL","B","25","494.01","1.25","0.050"
"06/18/2013","PATTEN & PATTEN         ","025","AAPL","S","30","431.70","1.50","0.050"
"06/25/2013","PATTEN & PATTEN         ","025","AAPL","S","12","403.40","0.60","0.050"
"08/01/2013","PATTEN & PATTEN         ","025","AAPL","S","50","455.65","2.50","0.050"
"08/07/2013","PATTEN & PATTEN         ","025","AAPL","S","20","465.21","1.00","0.050"
"08/29/2013","PATTEN & PATTEN         ","025","ABBV","B","100","42.98","5.00","0.050"
"08/07/2013","PATTEN & PATTEN         ","025","ABBV","S","200","44.62","10.00","0.050"
"08/29/2013","PATTEN & PATTEN         ","025","ABT","B","100","33.84","5.00","0.050"
"08/07/2013","PATTEN & PATTEN         ","025","ABT","S","200","35.96","10.00","0.050"
"06/18/2013","PATTEN & PATTEN         ","025","ACI","S","100","4.24","5.00","0.050"
"08/23/2013","PATTEN & PATTEN         ","025","ADT","S","25","41.28","1.25","0.050"
"06/18/2013","PATTEN & PATTEN         ","025","AGG","S","250","108.64","12.50","0.050"
"06/19/2013","PATTEN & PATTEN         ","025","AGG","S","300","108.69","15.00","0.050"
"06/21/2013","PATTEN & PATTEN         ","025","AGG","S","250","106.83","12.50","0.050"
"07/11/2013","PATTEN & PATTEN         ","025","AGG","S","250","106.85","12.50","0.050"
"07/19/2013","PATTEN & PATTEN         ","025","AGG","S","100","107.40","5.00","0.050"
"08/01/2013","PATTEN & PATTEN         ","025","AGG","S","500","106.48","25.00","0.050"
"08/06/2013","PATTEN & PATTEN         ","025","AGN","B","50","90.83","2.50","0.050"
"08/13/2013","PATTEN & PATTEN         ","025","AGN","B","150","90.16","7.50","0.050"
"07/22/2013","PATTEN & PATTEN         ","025","AGU","B","50","89.03","2.50","0.050"
"08/09/2013","PATTEN & PATTEN         ","025","AGU","B","100","85.22","5.00","0.050"
"01/03/2013","PATTEN & PATTEN         ","025","AIG","B","1,000","36.29","50.00","0.050"
"02/15/2013","PATTEN & PATTEN         ","025","AIG","B","22,275","38.40","1,113.75","0.050"
"02/20/2013","PATTEN & PATTEN         ","025","AIG","B","100","37.95","5.00","0.050"
"06/25/2013","PATTEN & PATTEN         ","025","AIG","B","50","43.51","2.50","0.050"
"07/05/2013","PATTEN & PATTEN         ","025","AIG","B","300","45.11","15.00","0.050"
"07/08/2013","PATTEN & PATTEN         ","025","AIG","B","250","45.60","12.50","0.050"
"07/22/2013","PATTEN & PATTEN         ","025","AIG","B","150","47.39","7.50","0.050"
"08/05/2013","PATTEN & PATTEN         ","025","AIG","B","150","48.68","7.50","0.050"
"08/06/2013","PATTEN & PATTEN         ","025","AIG","B","100","48.15","5.00","0.050"
"08/09/2013","PATTEN & PATTEN         ","025","AIG","B","50","48.14","2.50","0.050"
"08/13/2013","PATTEN & PATTEN         ","025","AIG","B","350","47.95","17.50","0.050"
"08/23/2013","PATTEN & PATTEN         ","025","AIG","B","200","47.34","10.00","0.050"
"08/27/2013","PATTEN & PATTEN         ","025","AIG","B","200","46.52","10.00","0.050"
"08/29/2013","PATTEN & PATTEN         ","025","AIG","B","125","46.88","6.25","0.050"
"09/10/2013","PATTEN & PATTEN         ","025","AIG","B","250","49.55","12.50","0.050"
"06/04/2013","PATTEN & PATTEN         ","025","ALB","S","250","65.57","12.50","0.050"
"06/18/2013","PATTEN & PATTEN         ","025","ALU","S","100","1.87","5.00","0.050"
"01/22/2013","PATTEN & PATTEN         ","025","AMLP","B","2,000","17.04","100.00","0.050"
"06/21/2013","PATTEN & PATTEN         ","025","AMLP","B","165","17.29","8.25","0.050"
"07/16/2013","PATTEN & PATTEN         ","025","AMLP","B","300","18.06","15.00","0.050"
"07/29/2013","PATTEN & PATTEN         ","025","AMLP","B","300","17.84","15.00","0.050"
"08/06/2013","PATTEN & PATTEN         ","025","AMLP","B","175","17.98","8.75","0.050"
"08/09/2013","PATTEN & PATTEN         ","025","AMLP","B","335","17.57","16.75","0.050"
"07/05/2013","PATTEN & PATTEN         ","025","AMLP","S","200","17.84","10.00","0.050"
"07/18/2013","PATTEN & PATTEN         ","025","AMLP","S","300","18.14","15.00","0.050"
"07/19/2013","PATTEN & PATTEN         ","025","AMLP","S","200","18.00","10.00","0.050"
"06/18/2013","PATTEN & PATTEN         ","025","AOL","S","22","36.78","1.10","0.050"
"02/19/2013","PATTEN & PATTEN         ","025","APA","B","75","76.96","3.75","0.050"
"05/31/2013","PATTEN & PATTEN         ","025","APA","B","200","84.25","10.00","0.050"
"06/19/2013","PATTEN & PATTEN         ","025","APA","B","50","87.43","2.50","0.050"
"06/25/2013","PATTEN & PATTEN         ","025","APC","B","112","85.07","5.60","0.050"
"07/22/2013","PATTEN & PATTEN         ","025","APC","B","162","91.85","8.10","0.050"
"08/29/2013","PATTEN & PATTEN         ","025","APC","B","70","92.37","3.50","0.050"
"07/15/2013","PATTEN & PATTEN         ","025","APC","S","100","89.42","5.00","0.050"
