"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"07/16/2013","1798 CAP/LOMBARD ASSET      ","040","HON","B","10,000","82.42","500.00","0.000"
"07/10/2013","A. R. SCHMEIDLER & CO.","031","WOOF","B","18,000","27.65","1,010.00","0.000"
"07/09/2013","ACK ASSET               ","028","CSX","B","55,000","24.05","1,650.00","0.000"
"07/02/2013","ACK ASSET               ","028","CSX","SS","75,000","23.02","2,250.00","0.000"
"07/03/2013","ACK ASSET               ","028","CSX","SS","50,000","22.98","1,500.00","0.000"
"07/01/2013","ADAGE CAPITAL MGMT      ","030","JCP","S","205,514","16.71","6,165.42","0.000"
"07/10/2013","ADAGE CAPITAL MGMT      ","030","LTD","SS","100,000","50.37","3,000.00","0.000"
"07/01/2013","ADAGE CAPITAL MGMT      ","030","LULU","B","60,000","66.48","1,800.00","0.000"
"07/01/2013","ADAGE CAPITAL MGMT      ","030","SSI","S","29,736","23.63","892.08","0.000"
"07/17/2013","ALLIANZ GLOBAL INVESTOR","084","CBK","B","18,137","7.16","634.80","0.000"
"07/01/2013","APEX CAPITAL MGMT.      ","033","ZNGA","B","331,500","3.10","6,630.00","0.000"
"07/24/2013","ARDSLEY PARTNERS        ","280","AGU","SS","5,000","87.93","250.00","0.000"
"07/09/2013","ARDSLEY PARTNERS        ","280","AXE","B","10,000","78.36","500.00","0.000"
"07/29/2013","ARDSLEY PARTNERS        ","280","AXE","SS","5,000","81.23","250.00","0.000"
"07/24/2013","ARDSLEY PARTNERS        ","280","BERY","B","5,000","22.91","250.00","0.000"
"07/31/2013","ARDSLEY PARTNERS        ","280","BG","S","10,000","76.30","500.00","0.000"
"07/31/2013","ARDSLEY PARTNERS        ","280","BWC","S","10,000","30.67","500.00","0.000"
"07/09/2013","ARDSLEY PARTNERS        ","280","GM","B","25,000","35.25","1,250.00","0.000"
"07/29/2013","ARDSLEY PARTNERS        ","280","GM","S","50,000","36.25","2,500.00","0.000"
"07/01/2013","ARDSLEY PARTNERS        ","280","GRPN","B","200,000","8.66","6,000.00","0.000"
"07/31/2013","ARDSLEY PARTNERS        ","280","GSM","S","10,000","12.01","500.00","0.000"
"07/11/2013","ARDSLEY PARTNERS        ","280","GT","B","25,000","16.69","1,250.00","0.000"
"07/08/2013","ARDSLEY PARTNERS        ","280","MSM","SS","5,000","77.89","250.00","0.000"
"07/26/2013","ARDSLEY PARTNERS        ","280","PHM","S","100,000","16.47","5,000.00","0.000"
"07/31/2013","ARDSLEY PARTNERS        ","280","SOL","B","25,000","4.75","750.00","0.000"
"07/29/2013","ARDSLEY PARTNERS        ","280","STLD","S","25,000","15.49","1,250.00","0.000"
"07/09/2013","ARDSLEY PARTNERS        ","280","TEN","B","10,000","48.71","500.00","0.000"
"07/10/2013","ARDSLEY PARTNERS        ","280","TEN","B","5,000","48.90","250.00","0.000"
"07/31/2013","ARDSLEY PARTNERS        ","280","URRE","S","19,300","3.72","579.00","0.000"
"07/25/2013","ASCEND PARTNERS         ","033","HBI","B","99,955","58.27","2,998.65","0.000"
"07/26/2013","ASCEND PARTNERS         ","033","LULU","S","55,000","68.94","1,650.00","0.000"
"07/31/2013","ASCEND PARTNERS         ","033","PVH","S","18,720","132.38","561.60","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ACHC","S","350","34.09","17.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ADS","S","100","184.55","5.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ALTR","S","400","33.42","20.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ALXN","S","250","95.31","12.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","AMG","S","150","166.11","7.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ANSS","S","250","75.72","12.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ARG","S","150","98.25","7.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ATR","S","250","57.48","12.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ATU","S","500","34.97","25.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","AYI","S","200","85.22","10.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","BWLD","S","200","103.55","10.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","CERN","S","400","47.50","20.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","CHD","S","500","62.39","25.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","CLB","S","100","157.01","5.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","CNQR","S","300","84.74","15.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","CTRX","S","450","48.37","22.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","CTXS","S","250","63.71","12.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","DG","S","250","52.06","12.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","DKS","S","400","49.28","20.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","DLR","S","300","59.89","15.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","EW","S","100","66.59","5.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","EWBC","S","650","28.64","32.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","FAST","S","350","46.73","17.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","FBHS","S","150","39.33","7.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","FFIV","S","150","69.26","7.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","FIRE","S","300","57.33","15.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","FLR","S","250","58.96","12.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","GHL","S","400","46.87","20.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ICLR","S","600","37.78","30.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","IHG","S","700","28.95","35.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ILMN","S","400","73.53","20.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","IVZ","S","450","31.94","22.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","JBHT","S","300","76.32","15.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","LKQ","S","700","26.46","35.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","MAN","S","350","59.33","17.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","MCHP","S","250","37.77","12.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","MKC","S","300","70.19","15.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","OII","S","300","80.14","15.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ORLY","S","200","116.52","10.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","PII","S","150","99.50","7.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","PRGO","S","100","126.42","5.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","PVH","S","350","130.30","17.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","RBC","S","50","66.03","2.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ROK","S","200","88.35","10.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ROP","S","100","128.36","5.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","RVBD","S","400","16.25","20.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","SRCL","S","200","114.42","10.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","SWKS","S","550","21.15","27.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","SWN","S","400","38.45","20.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","TDC","S","300","51.86","15.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","TFM","S","550","52.62","27.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","TIF","S","250","75.39","12.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","TRMB","S","650","27.26","32.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","TSCO","S","950","120.05","47.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","UA","S","300","61.35","15.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","URBN","S","400","41.79","20.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","WBC","S","200","77.71","10.00","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","WLL","S","450","48.74","22.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","WSO","S","150","88.46","7.50","0.000"
"07/09/2013","BAIRD INVESTMENT        ","047","ZBRA","S","300","44.42","15.00","0.000"
"07/09/2013","BALYASNY ASSET MGMT     ","044","ANF","S","20,000","50.27","1,000.00","0.000"
"07/01/2013","BALYASNY ASSET MGMT     ","044","DD","C","25,000","53.12","1,250.00","0.000"
"07/11/2013","BALYASNY ASSET MGMT     ","044","DE","C","10,000","83.58","500.00","0.000"
"07/29/2013","BALYASNY ASSET MGMT     ","044","DECK","B","15,000","53.38","750.00","0.000"
"07/01/2013","BALYASNY ASSET MGMT     ","044","DKS","SS","20,000","50.68","1,000.00","0.000"
