"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"05/29/2012"," NUVEEN - US BANCORP              ","030","APH","B","35,208","53.98","1,584.38","0.045"
"04/12/2012"," NUVEEN - US BANCORP              ","030","ASNA","S","49,495","21.36","2,227.28","0.045"
"05/31/2012"," NUVEEN - US BANCORP              ","030","BBBY","S","51,648","72.65","2,324.19","0.045"
"07/20/2012"," NUVEEN - US BANCORP              ","030","CMG","S","42,790","313.81","1,925.57","0.050"
"05/30/2012"," NUVEEN - US BANCORP              ","030","CVLT","B","26,967","47.35","1,213.53","0.045"
"04/12/2012"," NUVEEN - US BANCORP              ","030","HAIN","S","12,757","44.48","574.08","0.045"
"02/29/2012"," NUVEEN - US BANCORP              ","030","IVR","B","93,775","17.19","4,219.88","0.045"
"03/21/2012"," NUVEEN - US BANCORP              ","030","KBR","B","23,771","37.12","1,069.70","0.045"
"03/21/2012"," NUVEEN - US BANCORP              ","030","LYB","B","10,094","43.25","454.24","0.045"
"03/21/2012"," NUVEEN - US BANCORP              ","030","POT","B","4,328","46.74","194.77","0.045"
"04/12/2012"," NUVEEN - US BANCORP              ","030","SMBL","S","34,337","6.05","1,545.18","0.045"
"04/12/2012"," NUVEEN - US BANCORP              ","030","ZUMZ","S","16,225","34.67","730.14","0.045"
"05/01/2012","AMBER CAPITAL           ","046","ANF","S","8,000","52.50","320.00","0.040"
"01/06/2012","AMBER CAPITAL           ","046","ARCO","S","107,000","19.36","4,280.00","0.040"
"05/01/2012","AMBER CAPITAL           ","046","AVP","S","100,000","20.14","4,000.00","0.040"
"06/07/2012","AMBER CAPITAL           ","046","BKU","S","61,385","22.82","2,455.40","0.040"
"06/08/2012","AMBER CAPITAL           ","046","BKU","S","10,913","22.56","436.52","0.040"
"05/16/2012","AMBER CAPITAL           ","046","CVC","S","203,134","11.54","8,125.36","0.040"
"05/17/2012","AMBER CAPITAL           ","046","CVC","S","70,000","11.26","2,800.00","0.040"
"03/14/2012","AMBER CAPITAL           ","046","ECA","B","100,000","19.90","4,000.00","0.040"
"08/20/2012","AMBER CAPITAL           ","046","FST","B","100,000","7.75","3,000.00","0.030"
"04/09/2012","AMBER CAPITAL           ","046","MET","B","100,000","35.75","4,000.00","0.040"
"01/27/2012","AMBER CAPITAL           ","046","MET","SS","50,000","34.63","2,000.00","0.040"
"05/08/2012","AMBER CAPITAL           ","046","MMI","SS","50,000","39.15","2,000.00","0.040"
"03/05/2012","AMBER CAPITAL           ","046","MTL","B","150,000","10.64","4,500.00","0.030"
"05/25/2012","AMBER CAPITAL           ","046","NYX","SS","100,000","24.47","4,000.00","0.040"
"10/04/2012","AMBER CAPITAL           ","046","S","SS","250,000","5.06","5,000.00","0.020"
"05/01/2012","AMBER CAPITAL           ","046","XRT","B","7,000","61.73","280.00","0.040"
"10/24/2012","CHANNING CAPITAL","031","AXE","B","13,450","56.43","522.31","0.039"
"06/28/2012","CHANNING CAPITAL","031","CYT","B","50,437","55.46","2,017.48","0.040"
"03/28/2012","CHANNING CAPITAL","031","EMN","B","9,476","50.92","379.04","0.040"
"06/21/2012","CHANNING CAPITAL","031","FBHS","B","27,940","20.91","1,117.60","0.040"
"11/08/2012","CHANNING CAPITAL","031","IGT","S","120,101","12.73","3,603.03","0.030"
"03/28/2012","CHANNING CAPITAL","031","MSFT","B","6,328","32.20","253.12","0.040"
"03/28/2012","CHANNING CAPITAL","031","PXP","B","10,741","42.84","429.64","0.040"
"06/28/2012","CHANNING CAPITAL","031","PXP","B","17,370","32.52","694.80","0.040"
"06/28/2012","CHANNING CAPITAL","031","SPN","B","22,683","18.94","907.32","0.040"
"08/27/2012","COATUE MANAGEMENT","040","NWSA","B","100,000","23.42","5,000.00","0.000"
"08/27/2012","COATUE MANAGEMENT","040","SWY","SS","250,000","15.45","12,500.00","0.000"
"06/12/2012","CORNERSTONE             ","030","BTI","B","42,969","98.42","1,289.07","0.030"
"06/13/2012","CORNERSTONE             ","030","BTI","B","40,778","98.40","1,223.34","0.030"
"06/14/2012","CORNERSTONE             ","030","DG","B","28,685","50.55","860.55","0.030"
"09/19/2012","CORNERSTONE             ","030","DKS","B","50,000","53.93","1,500.00","0.000"
"02/27/2012","CORNERSTONE             ","030","DKS","S","137,997","44.98","4,139.91","0.030"
"04/16/2012","CORNERSTONE             ","030","DKS","S","16,430","49.41","492.90","0.030"
"07/18/2012","CORNERSTONE             ","030","EBAY","B","95,561","40.25","2,866.83","0.030"
"03/12/2012","CORNERSTONE             ","030","GES","S","327,102","36.50","9,813.06","0.030"
"05/18/2012","CORNERSTONE             ","030","ILMN","B","4,295","42.38","128.85","0.030"
"09/18/2012","CORNERSTONE             ","030","KO","B","166,864","38.64","5,005.92","0.000"
"09/28/2012","CORNERSTONE             ","030","KO","B","50,000","37.99","1,500.00","0.000"
"10/16/2012","CORNERSTONE             ","030","NKE","B","1,942","97.16","58.26","0.000"
"11/27/2012","CORNERSTONE             ","030","NKE","B","47,364","97.05","1,420.92","0.000"
"11/23/2012","CORNERSTONE             ","030","TIF","S","128,388","62.07","3,851.64","0.000"
"11/26/2012","CORNERSTONE             ","030","TIF","S","43,094","62.61","1,292.82","0.000"
"05/21/2012","CORNERSTONE             ","030","TJX","S","390,178","39.75","11,705.34","0.030"
"04/16/2012","CORNERSTONE             ","030","VFC","B","5,412","150.04","162.36","0.030"
"10/31/2012","DONALD SMITH","088","AUY","S","500,000","19.93","20,000.00","0.000"
"06/08/2012","DONALD SMITH","088","LPX","S","962,200","9.63","28,866.00","0.030"
"04/05/2012","DONALD SMITH","088","MDY","S","15,650","179.17","469.50","0.030"
"04/09/2012","DONALD SMITH","088","RSH","B","267,000","6.00","5,340.00","0.020"
"04/10/2012","DONALD SMITH","088","RSH","B","500,000","5.94","10,000.00","0.020"
"04/13/2012","DONALD SMITH","088","RSH","B","30,000","5.96","600.00","0.020"
"04/03/2012","DONALD SMITH","088","UFS","S","22,252","99.26","667.56","0.030"
"04/05/2012","DONALD SMITH","088","WPX","B","25,032","17.56","750.96","0.030"
"04/09/2012","DONALD SMITH","088","WPX","B","30,000","16.71","900.00","0.030"
"04/10/2012","DONALD SMITH","088","WPX","B","48,000","16.61","1,440.00","0.030"
"02/06/2012","EDGEWOOD","085","AAPL","B","815","464.18","40.75","0.050"
"05/15/2012","EDGEWOOD","085","AAPL","B","547","560.83","27.35","0.050"
"12/21/2012","EDGEWOOD","085","AAPL","B","751","515.94","37.56","0.000"
"12/17/2012","EDGEWOOD","085","AAPL","S","898","505.52","44.91","0.000"
"12/18/2012","EDGEWOOD","085","AAPL","S","132","522.25","6.60","0.000"
"12/28/2012","EDGEWOOD","085","AAPL","S","460","512.64","23.00","0.000"
"02/06/2012","EDGEWOOD","085","AGN","B","2,697","86.33","134.85","0.050"
"05/15/2012","EDGEWOOD","085","AGN","B","2,671","91.36","133.55","0.050"
"12/21/2012","EDGEWOOD","085","AGN","B","2,215","92.08","110.75","0.000"
"12/28/2012","EDGEWOOD","085","AGN","B","1,304","91.13","65.20","0.000"
"12/17/2012","EDGEWOOD","085","AGN","S","3,109","92.40","155.45","0.000"
"12/18/2012","EDGEWOOD","085","AGN","S","399","93.30","19.96","0.000"
"12/28/2012","EDGEWOOD","085","AGN","S","1,507","90.90","75.35","0.000"
"02/06/2012","EDGEWOOD","085","AMT","B","5,615","63.24","280.75","0.050"
"05/15/2012","EDGEWOOD","085","AMT","B","5,561","67.65","278.05","0.050"
"12/21/2012","EDGEWOOD","085","AMT","B","4,810","76.73","240.50","0.000"
"01/24/2012","EDGEWOOD","085","AMT","S","10,819","61.90","540.95","0.050"
"12/17/2012","EDGEWOOD","085","AMT","S","6,298","76.47","314.90","0.000"
"12/18/2012","EDGEWOOD","085","AMT","S","824","76.83","41.20","0.000"
"12/28/2012","EDGEWOOD","085","AMT","S","3,138","76.39","156.90","0.000"
"02/06/2012","EDGEWOOD","085","AMZN","B","2,244","184.25","112.20","0.050"
"05/15/2012","EDGEWOOD","085","AMZN","B","2,222","229.39","111.10","0.050"
"12/21/2012","EDGEWOOD","085","AMZN","B","1,627","257.04","81.35","0.000"
"12/17/2012","EDGEWOOD","085","AMZN","S","1,717","250.42","85.85","0.000"
"12/18/2012","EDGEWOOD","085","AMZN","S","255","257.20","12.75","0.000"
"12/28/2012","EDGEWOOD","085","AMZN","S","1,039","246.38","51.95","0.000"
"02/06/2012","EDGEWOOD","085","CELG","B","7,614","73.75","380.70","0.050"
"05/15/2012","EDGEWOOD","085","CELG","B","7,540","71.44","377.00","0.050"
"12/21/2012","EDGEWOOD","085","CELG","B","5,633","79.18","281.65","0.000"
"12/17/2012","EDGEWOOD","085","CELG","S","6,740","79.68","337.00","0.000"
"12/18/2012","EDGEWOOD","085","CELG","S","920","80.08","46.00","0.000"
"12/28/2012","EDGEWOOD","085","CELG","S","3,451","78.28","172.55","0.000"
"02/06/2012","EDGEWOOD","085","CME","B","1,959","272.76","97.95","0.050"
"05/15/2012","EDGEWOOD","085","CME","B","1,940","259.82","97.00","0.050"
"12/21/2012","EDGEWOOD","085","CME","B","6,082","51.00","304.10","0.000"
"12/17/2012","EDGEWOOD","085","CME","S","7,424","51.21","371.20","0.000"
"12/18/2012","EDGEWOOD","085","CME","S","1,021","51.79","51.05","0.000"
"12/28/2012","EDGEWOOD","085","CME","S","3,794","50.41","189.70","0.000"
"12/21/2012","EDGEWOOD","085","CMG","B","1,457","287.25","72.85","0.000"
"12/17/2012","EDGEWOOD","085","CMG","S","1,777","280.13","88.85","0.000"
"12/18/2012","EDGEWOOD","085","CMG","S","228","292.19","11.40","0.000"
"12/28/2012","EDGEWOOD","085","CMG","S","903","292.15","45.16","0.000"
"01/26/2012","EDGEWOOD","085","COH","B","21,113","69.22","1,055.65","0.050"
"02/06/2012","EDGEWOOD","085","COH","B","5,812","72.53","290.60","0.050"
"02/09/2012","EDGEWOOD","085","COH","B","58,670","74.12","2,933.50","0.050"
"05/15/2012","EDGEWOOD","085","COH","B","5,756","67.40","287.80","0.050"
"07/05/2012","EDGEWOOD","085","COH","B","28,010","59.88","1,400.50","0.050"
"10/02/2012","EDGEWOOD","085","COH","B","24,754","55.53","1,237.70","0.000"
"10/26/2012","EDGEWOOD","085","COH","B","32,042","55.98","1,602.10","0.000"
"12/21/2012","EDGEWOOD","085","COH","B","6,231","57.72","311.55","0.000"
"01/24/2012","EDGEWOOD","085","COH","S","11,087","67.65","554.35","0.050"
"02/10/2012","EDGEWOOD","085","COH","S","187,916","74.42","9,395.80","0.050"
"12/17/2012","EDGEWOOD","085","COH","S","5,947","56.75","297.35","0.000"
"12/18/2012","EDGEWOOD","085","COH","S","1,038","58.88","51.90","0.000"
"12/28/2012","EDGEWOOD","085","COH","S","4,181","54.68","209.05","0.000"
"02/06/2012","EDGEWOOD","085","CTSH","B","7,250","72.49","362.50","0.050"
"05/15/2012","EDGEWOOD","085","CTSH","B","8,699","61.49","434.95","0.050"
"12/21/2012","EDGEWOOD","085","CTSH","B","7,701","73.40","385.05","0.000"
"12/17/2012","EDGEWOOD","085","CTSH","S","9,415","72.74","470.75","0.000"
"12/18/2012","EDGEWOOD","085","CTSH","S","1,292","73.31","64.60","0.000"
"12/28/2012","EDGEWOOD","085","CTSH","S","4,982","72.63","249.10","0.000"
"02/06/2012","EDGEWOOD","085","ECL","B","2,832","61.42","141.60","0.050"
"05/15/2012","EDGEWOOD","085","ECL","B","4,331","64.34","216.55","0.050"
"12/21/2012","EDGEWOOD","085","ECL","B","3,844","71.72","192.20","0.000"
"12/17/2012","EDGEWOOD","085","ECL","S","6,062","70.44","303.10","0.000"
"12/18/2012","EDGEWOOD","085","ECL","S","707","71.11","35.35","0.000"
"12/28/2012","EDGEWOOD","085","ECL","S","2,444","71.45","122.20","0.000"
"12/21/2012","EDGEWOOD","085","GILD","B","2,177","73.25","108.85","0.000"
"12/17/2012","EDGEWOOD","085","GILD","S","2,603","73.70","130.15","0.000"
"12/18/2012","EDGEWOOD","085","GILD","S","357","75.22","17.86","0.000"
