"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"01/25/2012","AAD CAPITAL             ","084","MTH","SS","13,000","27.78","520.00","0.040"
"02/02/2012","AAD CAPITAL             ","084","TEX","SS","40,000","21.81","1,200.00","0.030"
"04/26/2012","APEX CAPITAL MGMT.      ","261","ABT","B","1,500","61.77","60.00","0.040"
"11/06/2012","APEX CAPITAL MGMT.      ","261","AKRX","B","80,000","12.14","3,200.00","0.000"
"04/26/2012","APEX CAPITAL MGMT.      ","261","ALKS","S","9,200","17.60","368.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","AMRN","S","10,000","11.53","300.00","0.030"
"04/26/2012","APEX CAPITAL MGMT.      ","261","ARO","B","8,200","22.36","328.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","BDX","B","900","77.13","36.00","0.040"
"11/15/2012","APEX CAPITAL MGMT.      ","261","BECN","SS","21,400","29.92","856.00","0.000"
"04/26/2012","APEX CAPITAL MGMT.      ","261","BID","S","8,000","38.36","320.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","BYI","B","1,700","47.69","68.00","0.040"
"11/15/2012","APEX CAPITAL MGMT.      ","261","CI","S","14,500","50.32","580.00","0.000"
"04/26/2012","APEX CAPITAL MGMT.      ","261","CLR","B","700","88.93","28.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","CNQR","B","1,600","56.41","64.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","CRI","B","3,100","55.90","124.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","CRM","B","200","152.62","8.00","0.040"
"05/10/2012","APEX CAPITAL MGMT.      ","261","CSCO","B","400,000","17.01","16,000.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","CTRP","S","8,500","21.51","340.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","DNR","S","900","18.73","36.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","DRC","B","100","48.17","4.00","0.040"
"07/30/2012","APEX CAPITAL MGMT.      ","261","DVN","SS","50,000","59.42","2,000.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","DWA","S","2,700","17.84","108.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","EAT","B","1,700","31.56","68.00","0.040"
"11/15/2012","APEX CAPITAL MGMT.      ","261","EXP","SS","13,100","50.88","524.00","0.000"
"04/26/2012","APEX CAPITAL MGMT.      ","261","FCN","B","1,500","35.99","60.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","GOOG","S","800","613.65","32.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","GRFS","S","10,500","9.48","315.00","0.030"
"04/26/2012","APEX CAPITAL MGMT.      ","261","GTLS","B","600","75.15","24.00","0.040"
"11/15/2012","APEX CAPITAL MGMT.      ","261","HLF","B","21,100","45.75","844.00","0.000"
"04/26/2012","APEX CAPITAL MGMT.      ","261","IBM","B","900","205.12","36.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","INCY","B","2,300","21.20","92.00","0.040"
"04/12/2012","APEX CAPITAL MGMT.      ","261","INTC","C","313,000","28.24","12,520.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","ITW","B","1,700","57.37","68.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","JIVE","B","2,800","23.76","112.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","JOY","S","900","71.72","36.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","LTD","S","10,600","49.81","424.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","MCD","B","1,400","95.40","56.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","MDT","B","2,300","37.05","92.00","0.040"
"09/24/2012","APEX CAPITAL MGMT.      ","261","MGM","B","100,000","10.79","4,000.00","0.000"
"10/03/2012","APEX CAPITAL MGMT.      ","261","MGM","B","50,000","10.60","2,000.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","MHK","B","900","65.87","36.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","MSTR","S","700","142.20","28.00","0.040"
"08/03/2012","APEX CAPITAL MGMT.      ","261","MTW","B","150,000","12.17","6,000.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","NBL","S","700","98.19","28.00","0.040"
"10/01/2012","APEX CAPITAL MGMT.      ","261","NFLX","B","100,000","56.11","4,000.00","0.000"
"11/15/2012","APEX CAPITAL MGMT.      ","261","NOG","C","21,400","13.97","856.00","0.000"
"04/26/2012","APEX CAPITAL MGMT.      ","261","OIH","B","700","40.64","14.00","0.020"
"04/26/2012","APEX CAPITAL MGMT.      ","261","ONXX","S","2,700","46.73","108.00","0.040"
"11/15/2012","APEX CAPITAL MGMT.      ","261","OTEX","SS","14,000","52.48","560.00","0.000"
"04/26/2012","APEX CAPITAL MGMT.      ","261","OXY","S","2,700","90.49","108.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","PPO","S","2,800","37.30","112.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","RAD","S","71,000","1.42","1,420.00","0.020"
"04/26/2012","APEX CAPITAL MGMT.      ","261","RAX","B","2,400","57.12","96.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","RGR","B","100","55.07","4.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","SFLY","S","9,100","31.15","364.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","SGEN","B","2,300","19.85","92.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","SPLK","B","1,400","34.66","56.00","0.040"
"05/08/2012","APEX CAPITAL MGMT.      ","261","SU","SS","150,000","29.38","6,000.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","SWFT","S","2,800","10.18","112.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","TFM","B","1,400","51.91","56.00","0.040"
