"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"10/17/2013"," MSF CAPITAL(ENTRUST)         ","040","CCK","S","18,120","40.48","906.00","0.050"
"10/17/2013"," MSF CAPITAL(ENTRUST)         ","040","CFN","S","21,929","39.36","1,096.45","0.050"
"10/25/2013"," MSF CAPITAL(ENTRUST)         ","040","CFN","S","38,869","38.96","1,943.45","0.050"
"11/07/2013"," MSF CAPITAL(ENTRUST)         ","040","CVA","B","69,772","17.55","3,488.60","0.050"
"11/07/2013"," MSF CAPITAL(ENTRUST)         ","040","INT","SS","16,194","37.25","809.70","0.050"
"10/30/2013"," MSF CAPITAL(ENTRUST)         ","040","IRBT","SS","14,854","34.46","742.70","0.050"
"10/14/2013"," MSF CAPITAL(ENTRUST)         ","040","TFX","S","16,211","84.42","810.55","0.050"
"03/12/2013"," NUVEEN - US BANCORP              ","030","ANN","B","13,514","31.14","608.14","0.045"
"09/17/2013"," NUVEEN - US BANCORP              ","030","BA","B","57,799","117.18","2,600.96","0.045"
"03/12/2013"," NUVEEN - US BANCORP              ","030","BC","B","6,236","34.63","280.63","0.045"
"05/06/2013"," NUVEEN - US BANCORP              ","030","CERN","S","30,581","95.60","1,376.16","0.045"
"02/26/2013"," NUVEEN - US BANCORP              ","030","EQIX","B","30,668","211.97","1,380.08","0.045"
"06/03/2013"," NUVEEN - US BANCORP              ","030","KSU","S","14,719","108.92","662.37","0.045"
"04/24/2013"," NUVEEN - US BANCORP              ","030","LZB","B","23,056","17.85","1,037.53","0.045"
"06/03/2013"," NUVEEN - US BANCORP              ","030","MCK","S","14,559","112.11","655.16","0.045"
"02/20/2013"," NUVEEN - US BANCORP              ","030","MTX","S","7,421","41.69","333.95","0.045"
"02/27/2013"," NUVEEN - US BANCORP              ","030","PPG","B","36,901","134.49","1,660.57","0.045"
"02/21/2013","1798 CAP/LOMBARD ASSET      ","040","ANF","S","75,000","48.57","3,750.00","0.050"
"01/16/2013","1798 CAP/LOMBARD ASSET      ","040","AXL","B","20,000","11.27","1,000.00","0.050"
"10/24/2013","1798 CAP/LOMBARD ASSET      ","040","AXL","S","20,000","18.77","1,000.00","0.050"
"08/26/2013","1798 CAP/LOMBARD ASSET      ","040","BONT","S","115,500","12.45","5,775.00","0.050"
"08/29/2013","1798 CAP/LOMBARD ASSET      ","040","BONT","S","25,000","11.10","1,250.00","0.050"
"04/15/2013","1798 CAP/LOMBARD ASSET      ","040","BTU","S","365,000","19.49","18,250.00","0.050"
"05/13/2013","1798 CAP/LOMBARD ASSET      ","040","BTU","S","250,000","20.64","12,500.00","0.050"
"08/13/2013","1798 CAP/LOMBARD ASSET      ","040","CMI","B","5,000","127.27","250.00","0.050"
"10/24/2013","1798 CAP/LOMBARD ASSET      ","040","FLIR","SS","32,000","28.51","1,600.00","0.050"
"08/06/2013","1798 CAP/LOMBARD ASSET      ","040","GM","B","10,000","36.32","500.00","0.050"
"09/27/2013","1798 CAP/LOMBARD ASSET      ","040","GT","S","50,000","22.50","2,500.00","0.050"
"11/08/2013","1798 CAP/LOMBARD ASSET      ","040","GT","S","30,000","20.95","1,500.00","0.050"
"07/16/2013","1798 CAP/LOMBARD ASSET      ","040","HON","B","10,000","82.42","500.00","0.050"
"09/05/2013","1798 CAP/LOMBARD ASSET      ","040","JCI","B","10,000","41.71","500.00","0.050"
"06/05/2013","1798 CAP/LOMBARD ASSET      ","040","KSS","SS","195,000","51.24","9,750.00","0.050"
"06/05/2013","1798 CAP/LOMBARD ASSET      ","040","M","SS","210,000","47.51","10,500.00","0.050"
"01/03/2013","1798 CAP/LOMBARD ASSET      ","040","MDU","B","10,000","21.72","500.00","0.050"
"02/28/2013","1798 CAP/LOMBARD ASSET      ","040","MDU","S","10,000","24.18","500.00","0.050"
"05/07/2013","1798 CAP/LOMBARD ASSET      ","040","MWV","B","25,000","34.68","1,250.00","0.050"
"05/09/2013","1798 CAP/LOMBARD ASSET      ","040","MWV","B","35,000","35.14","1,750.00","0.050"
"05/10/2013","1798 CAP/LOMBARD ASSET      ","040","MWV","B","50,000","35.18","2,500.00","0.050"
"05/16/2013","1798 CAP/LOMBARD ASSET      ","040","MWV","B","10,500","36.00","525.00","0.050"
"05/29/2013","1798 CAP/LOMBARD ASSET      ","040","MWV","B","13,500","35.56","675.00","0.050"
"05/30/2013","1798 CAP/LOMBARD ASSET      ","040","MWV","B","25,000","35.70","1,250.00","0.050"
"10/25/2013","1798 CAP/LOMBARD ASSET      ","040","NOV","C","15,000","82.20","750.00","0.050"
"01/28/2013","1798 CAP/LOMBARD ASSET      ","040","PNRA","B","5,000","161.30","250.00","0.050"
"08/08/2013","1798 CAP/LOMBARD ASSET      ","040","RBA","SS","10,000","19.54","500.00","0.050"
"02/13/2013","1798 CAP/LOMBARD ASSET      ","040","SFI","S","10,000","9.98","400.00","0.040"
"10/29/2013","1798 CAP/LOMBARD ASSET      ","040","SYY","SS","15,000","32.86","750.00","0.050"
"01/31/2013","1798 CAP/LOMBARD ASSET      ","040","TGI","B","5,000","69.24","250.00","0.050"
"03/13/2013","1798 CAP/LOMBARD ASSET      ","040","TSO","S","100,000","55.60","5,000.00","0.050"
"03/27/2013","1798 CAP/LOMBARD ASSET      ","040","TSO","S","15,000","57.98","750.00","0.050"
