"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"12/17/2012","ARCHON CAPITAL          ","035","BBBY","B","41,400","58.97","1,242.00","0.030"
"11/29/2012","ARCHON CAPITAL          ","035","COH","SS","15,000","59.03","450.00","0.000"
"02/27/2012","ARCHON CAPITAL          ","035","CRM","S","10,000","142.86","300.00","0.030"
"02/27/2012","ARCHON CAPITAL          ","035","CRR","S","15,000","92.41","450.00","0.030"
"11/26/2012","ARCHON CAPITAL          ","035","FB","S","60,000","25.42","1,800.00","0.030"
"06/06/2012","ARCHON CAPITAL          ","035","FRAN","B","50,000","23.70","1,500.00","0.030"
"05/09/2012","ARCHON CAPITAL          ","035","JCP","B","2,500","33.29","75.00","0.030"
"05/14/2012","ARCHON CAPITAL          ","035","JCP","B","18,500","34.13","555.00","0.030"
"09/14/2012","ARCHON CAPITAL          ","035","RT","SS","47,600","7.60","1,428.00","0.030"
"07/23/2012","ARCHON CAPITAL          ","035","SHOO","B","15,000","33.56","450.00","0.030"
"09/13/2012","ARCHON CAPITAL          ","035","TDC","B","8,500","75.06","255.00","0.030"
"09/14/2012","ARCHON CAPITAL          ","035","UA","B","17,500","60.19","525.00","0.030"
"01/27/2012","BALLAST CAP","040","ABFS","B","4,000","18.86","200.00","0.050"
"03/16/2012","BALLAST CAP","040","ACI","B","10,000","12.63","300.00","0.030"
"09/21/2012","BALLAST CAP","040","ANF","S","5,000","36.85","250.00","0.050"
"09/10/2012","BALLAST CAP","040","ATVI","B","15,000","12.01","450.00","0.030"
"07/23/2012","BALLAST CAP","040","BTU","B","6,000","22.98","300.00","0.050"
"08/08/2012","BALLAST CAP","040","BTU","S","11,000","21.77","550.00","0.050"
"06/04/2012","BALLAST CAP","040","CAT","B","4,200","83.56","210.00","0.050"
"01/09/2012","BALLAST CAP","040","CFN","S","7,000","23.22","350.00","0.050"
"09/20/2012","BALLAST CAP","040","CHRW","B","6,000","57.52","300.00","0.050"
"06/06/2012","BALLAST CAP","040","CONN","S","19,300","15.13","965.00","0.050"
"08/02/2012","BALLAST CAP","040","CVS","S","2,000","44.53","100.00","0.050"
"03/22/2012","BALLAST CAP","040","DPS","B","9,800","38.82","490.00","0.050"
"06/11/2012","BALLAST CAP","040","DRI","SS","7,700","50.02","385.00","0.050"
"07/23/2012","BALLAST CAP","040","EMR","SS","8,400","46.17","420.00","0.050"
"02/03/2012","BALLAST CAP","040","EXP","SS","12,600","31.95","630.00","0.050"
"07/10/2012","BALLAST CAP","040","FCX","S","8,800","33.40","440.00","0.050"
"02/23/2012","BALLAST CAP","040","FWLT","B","14,400","24.40","720.00","0.050"
"05/15/2012","BALLAST CAP","040","FWLT","S","11,500","20.07","575.00","0.050"
"06/11/2012","BALLAST CAP","040","GES","SS","14,300","27.16","715.00","0.050"
"07/24/2012","BALLAST CAP","040","GIS","SS","9,900","38.02","495.00","0.050"
