"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"05/19/2011","AAD CAPITAL             ","084","BIG","B","30,000","33.96","1,200.00","0.040"
"01/28/2011","AAD CAPITAL             ","084","F","S","100,000","16.61","3,000.00","0.030"
"08/02/2011","AAD CAPITAL             ","084","GM","B","50,000","27.77","2,000.00","0.040"
"03/17/2011","AAD CAPITAL             ","084","LVS","B","40,000","37.40","1,600.00","0.040"
"03/18/2011","AAD CAPITAL             ","084","LVS","B","10,000","36.94","400.00","0.040"
"04/20/2011","AAD CAPITAL             ","084","LVS","S","20,000","46.02","800.00","0.040"
"03/04/2011","AAD CAPITAL             ","084","MGM","B","100,000","13.62","3,000.00","0.030"
"03/07/2011","AAD CAPITAL             ","084","MGM","B","22,800","13.32","684.00","0.030"
"03/10/2011","AAD CAPITAL             ","084","MGM","B","50,000","12.97","1,500.00","0.030"
"03/14/2011","AAD CAPITAL             ","084","MGM","B","27,200","12.68","816.00","0.030"
"08/18/2011","AAD CAPITAL             ","084","MGM","B","100,000","10.08","3,000.00","0.030"
"03/18/2011","AAD CAPITAL             ","084","MGM","S","200,000","12.64","6,000.00","0.030"
"03/07/2011","AAD CAPITAL             ","084","WNR","B","50,000","15.62","1,500.00","0.030"
"03/08/2011","AAD CAPITAL             ","084","WNR","B","30,000","15.01","900.00","0.030"
"04/01/2011","APEX CAPITAL MGMT.      ","261","ADSK","SS","61,500","43.49","2,460.00","0.040"
"07/08/2011","APEX CAPITAL MGMT.      ","261","AEO","C","200,000","13.77","8,000.00","0.040"
"07/18/2011","APEX CAPITAL MGMT.      ","261","AEO","C","50,000","13.51","2,000.00","0.040"
"09/02/2011","APEX CAPITAL MGMT.      ","261","ALKS","B","1,000","16.78","40.00","0.040"
"03/09/2011","APEX CAPITAL MGMT.      ","261","ALTR","SS","136,300","40.60","5,452.00","0.040"
"08/10/2011","APEX CAPITAL MGMT.      ","261","ANF","S","50,000","65.10","2,000.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","APEI","SS","1,313","32.88","52.52","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","ARCO","B","10,600","22.13","424.00","0.040"
"03/24/2011","APEX CAPITAL MGMT.      ","261","ATVI","SS","94,500","10.88","3,780.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","ATVI","SS","49,200","11.77","1,968.00","0.040"
"09/01/2011","APEX CAPITAL MGMT.      ","261","BDX","SS","4,700","80.99","188.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","BDX","SS","4,700","70.78","188.00","0.040"
"09/02/2011","APEX CAPITAL MGMT.      ","261","BEN","C","2,100","114.18","84.00","0.040"
"09/01/2011","APEX CAPITAL MGMT.      ","261","BID","B","16,400","37.33","656.00","0.040"
"09/01/2011","APEX CAPITAL MGMT.      ","261","BWA","SS","4,400","71.80","176.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","BWA","SS","3,900","57.15","156.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","BWLD","SS","5,000","55.57","200.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","CMG","SS","1,000","291.08","40.00","0.040"
"03/18/2011","APEX CAPITAL MGMT.      ","261","COH","B","150,000","50.23","6,000.00","0.040"
"03/24/2011","APEX CAPITAL MGMT.      ","261","COH","B","100,000","51.77","4,000.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","COP","SS","11,700","60.12","468.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","CRM","SS","2,900","113.71","116.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","CY","SS","47,900","14.04","1,916.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","DO","SS","4,200","52.26","168.00","0.040"
"09/01/2011","APEX CAPITAL MGMT.      ","261","DXCM","B","15,500","11.95","620.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","DXCM","B","11,500","11.77","460.00","0.040"
