"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"09/12/2011","1798 CAP/LOMBARD ASSET      ","040","AVY","SS","15,000","25.58","750.00","0.050"
"01/13/2011","1798 CAP/LOMBARD ASSET      ","040","CAT","B","5,000","94.38","250.00","0.050"
"01/26/2011","1798 CAP/LOMBARD ASSET      ","040","CAT","B","19,000","95.13","950.00","0.050"
"01/28/2011","1798 CAP/LOMBARD ASSET      ","040","CAT","B","3,000","95.99","150.00","0.050"
"01/20/2011","1798 CAP/LOMBARD ASSET      ","040","CAT","S","21,000","94.35","1,050.00","0.050"
"03/10/2011","1798 CAP/LOMBARD ASSET      ","040","CAT","S","10,000","98.48","500.00","0.050"
"07/21/2011","1798 CAP/LOMBARD ASSET      ","040","CAT","SS","8,000","111.71","400.00","0.050"
"09/19/2011","1798 CAP/LOMBARD ASSET      ","040","CAT","SS","7,500","83.94","375.00","0.050"
"04/12/2011","1798 CAP/LOMBARD ASSET      ","040","CCL","C","75,000","38.62","3,750.00","0.050"
"02/04/2011","1798 CAP/LOMBARD ASSET      ","040","CSX","B","13,000","69.93","650.00","0.050"
"09/13/2011","1798 CAP/LOMBARD ASSET      ","040","CSX","C","45,000","20.19","2,250.00","0.050"
"03/10/2011","1798 CAP/LOMBARD ASSET      ","040","CSX","S","10,000","74.49","500.00","0.050"
"05/13/2011","1798 CAP/LOMBARD ASSET      ","040","CSX","S","10,000","74.68","500.00","0.050"
"04/12/2011","1798 CAP/LOMBARD ASSET      ","040","CVI","S","50,000","21.79","2,500.00","0.050"
"02/02/2011","1798 CAP/LOMBARD ASSET      ","040","DG","SS","10,000","27.61","500.00","0.050"
"09/12/2011","1798 CAP/LOMBARD ASSET      ","040","DOW","SS","12,000","25.22","600.00","0.050"
"05/02/2011","1798 CAP/LOMBARD ASSET      ","040","EBAY","S","50,000","33.74","2,500.00","0.050"
"07/22/2011","1798 CAP/LOMBARD ASSET      ","040","EP","B","25,000","20.93","1,250.00","0.050"
"07/26/2011","1798 CAP/LOMBARD ASSET      ","040","EP","B","10,000","20.73","500.00","0.050"
"01/11/2011","1798 CAP/LOMBARD ASSET      ","040","F","S","25,000","18.27","1,250.00","0.050"
"02/02/2011","1798 CAP/LOMBARD ASSET      ","040","FOE","B","5,000","15.47","250.00","0.050"
"04/12/2011","1798 CAP/LOMBARD ASSET      ","040","GPS","SS","25,000","22.25","1,250.00","0.050"
"07/25/2011","1798 CAP/LOMBARD ASSET      ","040","GVA","SS","7,500","24.74","375.00","0.050"
"02/11/2011","1798 CAP/LOMBARD ASSET      ","040","HAL","B","20,000","44.29","1,000.00","0.050"
"09/12/2011","1798 CAP/LOMBARD ASSET      ","040","HOS","B","5,000","26.85","250.00","0.050"
"05/03/2011","1798 CAP/LOMBARD ASSET      ","040","JOYG","S","67,350","99.02","3,367.50","0.050"
"09/12/2011","1798 CAP/LOMBARD ASSET      ","040","JOYG","S","5,000","75.66","250.00","0.050"
"04/11/2011","1798 CAP/LOMBARD ASSET      ","040","KR","C","120,000","24.47","6,000.00","0.050"
"07/21/2011","1798 CAP/LOMBARD ASSET      ","040","MAS","SS","40,000","11.64","2,000.00","0.050"
"02/09/2011","1798 CAP/LOMBARD ASSET      ","040","MRO","B","5,000","46.39","250.00","0.050"
"04/12/2011","1798 CAP/LOMBARD ASSET      ","040","MRO","S","35,000","50.76","1,750.00","0.050"
"04/12/2011","1798 CAP/LOMBARD ASSET      ","040","NAV","S","4,000","65.99","200.00","0.050"
"05/02/2011","1798 CAP/LOMBARD ASSET      ","040","ROST","S","10,000","73.32","500.00","0.050"
"07/14/2011","1798 CAP/LOMBARD ASSET      ","040","RSH","SS","25,000","12.89","1,250.00","0.050"
