"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"01/05/2012","ADALY INV MGMT          ","031","NEM","B","22,500","62.12","1,125.00","0.050"
"08/01/2012","ADALY INV MGMT          ","031","WMT","SS","15,000","74.02","750.00","0.050"
"10/31/2012","BAIRD INVESTMENT        ","047","ADS","B","800","142.32","40.00","0.050"
"11/23/2012","BAIRD INVESTMENT        ","047","ADS","B","800","140.45","40.00","0.050"
"11/30/2012","BAIRD INVESTMENT        ","047","ADS","B","750","142.94","37.50","0.050"
"05/03/2012","BAIRD INVESTMENT        ","047","AGN","B","4,725","93.61","236.25","0.050"
"05/01/2012","BAIRD INVESTMENT        ","047","AGN","S","65","96.23","3.25","0.050"
"09/13/2012","BAIRD INVESTMENT        ","047","AGN","S","4,550","89.24","227.50","0.000"
"10/31/2012","BAIRD INVESTMENT        ","047","ALTR","B","2,100","30.20","105.00","0.050"
"11/23/2012","BAIRD INVESTMENT        ","047","ALTR","B","2,100","31.81","105.00","0.050"
"11/30/2012","BAIRD INVESTMENT        ","047","ALTR","B","1,950","32.31","97.50","0.050"
"10/31/2012","BAIRD INVESTMENT        ","047","AMG","B","700","124.76","35.00","0.050"
"11/23/2012","BAIRD INVESTMENT        ","047","AMG","B","700","127.79","35.00","0.050"
"11/30/2012","BAIRD INVESTMENT        ","047","AMG","B","650","129.12","32.50","0.050"
"10/31/2012","BAIRD INVESTMENT        ","047","ANSS","B","1,400","69.26","70.00","0.050"
"11/23/2012","BAIRD INVESTMENT        ","047","ANSS","B","1,400","67.55","70.00","0.050"
"11/30/2012","BAIRD INVESTMENT        ","047","ANSS","B","1,300","66.17","65.00","0.050"
"07/17/2012","BAIRD INVESTMENT        ","047","ARG","B","7,400","83.02","370.00","0.050"
"10/31/2012","BAIRD INVESTMENT        ","047","ARG","B","1,100","87.53","55.00","0.050"
"11/23/2012","BAIRD INVESTMENT        ","047","ARG","B","1,000","89.79","50.00","0.050"
"11/30/2012","BAIRD INVESTMENT        ","047","ARG","B","1,000","88.42","50.00","0.050"
"10/31/2012","BAIRD INVESTMENT        ","047","ATR","B","1,500","51.04","75.00","0.050"
"11/23/2012","BAIRD INVESTMENT        ","047","ATR","B","1,500","47.51","75.00","0.050"
"11/30/2012","BAIRD INVESTMENT        ","047","ATR","B","1,350","47.61","67.50","0.050"
"10/31/2012","BAIRD INVESTMENT        ","047","ATU","B","2,800","28.09","140.00","0.050"
"11/23/2012","BAIRD INVESTMENT        ","047","ATU","B","2,800","27.61","140.00","0.050"
"11/30/2012","BAIRD INVESTMENT        ","047","ATU","B","2,600","28.71","130.00","0.050"
"10/31/2012","BAIRD INVESTMENT        ","047","AYI","B","1,200","64.19","60.00","0.050"
"11/23/2012","BAIRD INVESTMENT        ","047","AYI","B","1,100","65.20","55.00","0.050"
"11/30/2012","BAIRD INVESTMENT        ","047","AYI","B","1,100","66.25","55.00","0.050"
"10/31/2012","BAIRD INVESTMENT        ","047","BWLD","B","1,000","74.25","50.00","0.050"
"11/23/2012","BAIRD INVESTMENT        ","047","BWLD","B","1,000","72.01","50.00","0.050"
"11/30/2012","BAIRD INVESTMENT        ","047","BWLD","B","950","73.53","47.50","0.050"
"11/14/2012","BAIRD INVESTMENT        ","047","CAT","S","4,800","82.64","240.00","0.000"
"10/31/2012","BAIRD INVESTMENT        ","047","CERN","B","900","75.72","45.00","0.050"
"11/23/2012","BAIRD INVESTMENT        ","047","CERN","B","900","78.01","45.00","0.050"
"11/30/2012","BAIRD INVESTMENT        ","047","CERN","B","850","76.71","42.50","0.050"
"10/31/2012","BAIRD INVESTMENT        ","047","CHD","B","2,000","50.34","100.00","0.050"
"11/23/2012","BAIRD INVESTMENT        ","047","CHD","B","1,900","53.86","95.00","0.050"
"11/30/2012","BAIRD INVESTMENT        ","047","CHD","B","1,850","54.20","92.50","0.050"
"12/26/2012","BAIRD INVESTMENT        ","047","CHD","B","9,875","53.60","493.75","0.000"
"10/31/2012","BAIRD INVESTMENT        ","047","CLB","B","700","102.40","35.00","0.050"
