"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"05/19/2011","AAD CAPITAL             ","084","BIG","B","30,000","33.96","1,200.00","0.040"
"01/28/2011","AAD CAPITAL             ","084","F","S","100,000","16.61","3,000.00","0.030"
"08/02/2011","AAD CAPITAL             ","084","GM","B","50,000","27.77","2,000.00","0.040"
"03/17/2011","AAD CAPITAL             ","084","LVS","B","40,000","37.40","1,600.00","0.040"
"03/18/2011","AAD CAPITAL             ","084","LVS","B","10,000","36.94","400.00","0.040"
"04/20/2011","AAD CAPITAL             ","084","LVS","S","20,000","46.02","800.00","0.040"
"03/04/2011","AAD CAPITAL             ","084","MGM","B","100,000","13.62","3,000.00","0.030"
"03/07/2011","AAD CAPITAL             ","084","MGM","B","22,800","13.32","684.00","0.030"
"03/10/2011","AAD CAPITAL             ","084","MGM","B","50,000","12.97","1,500.00","0.030"
"03/14/2011","AAD CAPITAL             ","084","MGM","B","27,200","12.68","816.00","0.030"
"08/18/2011","AAD CAPITAL             ","084","MGM","B","100,000","10.08","3,000.00","0.030"
"03/18/2011","AAD CAPITAL             ","084","MGM","S","200,000","12.64","6,000.00","0.030"
"01/25/2012","AAD CAPITAL             ","084","MTH","SS","13,000","27.78","520.00","0.040"
"02/02/2012","AAD CAPITAL             ","084","TEX","SS","40,000","21.81","1,200.00","0.030"
"03/07/2011","AAD CAPITAL             ","084","WNR","B","50,000","15.62","1,500.00","0.030"
"03/08/2011","AAD CAPITAL             ","084","WNR","B","30,000","15.01","900.00","0.030"
"04/26/2012","APEX CAPITAL MGMT.      ","261","ABT","B","1,500","61.77","60.00","0.040"
"04/01/2011","APEX CAPITAL MGMT.      ","261","ADSK","SS","61,500","43.49","2,460.00","0.040"
"07/08/2011","APEX CAPITAL MGMT.      ","261","AEO","C","200,000","13.77","8,000.00","0.040"
"07/18/2011","APEX CAPITAL MGMT.      ","261","AEO","C","50,000","13.51","2,000.00","0.040"
"11/06/2012","APEX CAPITAL MGMT.      ","261","AKRX","B","80,000","12.14","3,200.00","0.000"
"09/02/2011","APEX CAPITAL MGMT.      ","261","ALKS","B","1,000","16.78","40.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","ALKS","S","9,200","17.60","368.00","0.040"
"03/09/2011","APEX CAPITAL MGMT.      ","261","ALTR","SS","136,300","40.60","5,452.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","AMRN","S","10,000","11.53","300.00","0.030"
"08/10/2011","APEX CAPITAL MGMT.      ","261","ANF","S","50,000","65.10","2,000.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","APEI","SS","1,313","32.88","52.52","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","ARCO","B","10,600","22.13","424.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","ARO","B","8,200","22.36","328.00","0.040"
"03/24/2011","APEX CAPITAL MGMT.      ","261","ATVI","SS","94,500","10.88","3,780.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","ATVI","SS","49,200","11.77","1,968.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","BDX","B","900","77.13","36.00","0.040"
"09/01/2011","APEX CAPITAL MGMT.      ","261","BDX","SS","4,700","80.99","188.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","BDX","SS","4,700","70.78","188.00","0.040"
"11/15/2012","APEX CAPITAL MGMT.      ","261","BECN","SS","21,400","29.92","856.00","0.000"
"09/02/2011","APEX CAPITAL MGMT.      ","261","BEN","C","2,100","114.18","84.00","0.040"
"09/01/2011","APEX CAPITAL MGMT.      ","261","BID","B","16,400","37.33","656.00","0.040"
"04/26/2012","APEX CAPITAL MGMT.      ","261","BID","S","8,000","38.36","320.00","0.040"
"09/01/2011","APEX CAPITAL MGMT.      ","261","BWA","SS","4,400","71.80","176.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","BWA","SS","3,900","57.15","156.00","0.040"
"10/04/2011","APEX CAPITAL MGMT.      ","261","BWLD","SS","5,000","55.57","200.00","0.040"
