"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"05/06/2013","SCOPUS FUND             ","041","AXL","B","38,500","14.98","1,540.00","0.000"
"05/23/2013","SCOPUS FUND             ","041","CBT","S","4,728","39.30","189.12","0.000"
"05/02/2013","SCOPUS FUND             ","041","DG","B","25,000","52.42","1,000.00","0.000"
"05/16/2013","SCOPUS FUND             ","041","ETN","S","25,000","65.78","1,000.00","0.000"
"05/24/2013","SCOPUS FUND             ","041","GRPN","B","40,000","7.19","1,600.00","0.000"
"05/23/2013","SCOPUS FUND             ","041","JCI","B","15,000","37.10","600.00","0.000"
"05/08/2013","SCOPUS FUND             ","041","LAD","B","25,000","51.54","1,000.00","0.000"
"05/21/2013","SCOPUS FUND             ","041","LYB","S","50,000","66.06","2,000.00","0.000"
"05/15/2013","SCOPUS FUND             ","041","M","SS","26,220","47.70","1,048.80","0.000"
"05/22/2013","SCOPUS FUND             ","041","M","SS","25,000","49.02","1,000.00","0.000"
"05/15/2013","SCOPUS FUND             ","041","ROST","S","17,701","65.77","708.04","0.000"
"05/09/2013","SCOPUS FUND             ","041","TRW","S","25,000","61.37","1,000.00","0.000"
"05/02/2013","SCOPUS FUND             ","041","VLO","B","2,300","36.54","92.00","0.000"
