"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"11/29/2012","TUDOR INVESTORS","028","ABG","B","30,000","30.05","900.00","0.030"
"10/03/2012","TUDOR INVESTORS","028","ADT","B","5,000","39.40","150.00","0.030"
"10/01/2012","TUDOR INVESTORS","028","ADT","S","25,000","35.95","750.00","0.030"
"10/11/2012","TUDOR INVESTORS","028","ADT","S","5,500","36.00","165.00","0.030"
"11/26/2012","TUDOR INVESTORS","028","ADT","S","5,000","42.90","150.00","0.030"
"10/19/2012","TUDOR INVESTORS","028","APD","B","5,000","82.13","150.00","0.030"
"12/13/2012","TUDOR INVESTORS","028","APD","B","10,000","82.87","300.00","0.030"
"10/19/2012","TUDOR INVESTORS","028","ARG","S","5,000","82.82","150.00","0.030"
"12/07/2012","TUDOR INVESTORS","028","ARG","S","5,000","89.64","150.00","0.030"
"11/21/2012","TUDOR INVESTORS","028","ASH","S","5,000","69.25","150.00","0.030"
"10/02/2012","TUDOR INVESTORS","028","AXL","B","5,000","11.13","150.00","0.030"
"10/04/2012","TUDOR INVESTORS","028","AXL","S","25,000","12.18","750.00","0.030"
"12/03/2012","TUDOR INVESTORS","028","BECN","B","5,000","31.20","150.00","0.030"
"10/02/2012","TUDOR INVESTORS","028","BKE","B","25,000","46.12","750.00","0.030"
"09/20/2012","TUDOR INVESTORS","028","CAT","SS","5,000","92.34","150.00","0.030"
"09/21/2012","TUDOR INVESTORS","028","CLD","B","10,000","18.38","300.00","0.030"
"09/27/2012","TUDOR INVESTORS","028","CLD","B","10,000","18.23","300.00","0.030"
"10/11/2012","TUDOR INVESTORS","028","CLD","S","15,000","18.89","450.00","0.030"
"10/11/2012","TUDOR INVESTORS","028","CNX","B","15,000","35.46","450.00","0.030"
"09/27/2012","TUDOR INVESTORS","028","CNX","SS","10,000","29.70","300.00","0.030"
"09/19/2012","TUDOR INVESTORS","028","DAN","B","30,000","13.39","900.00","0.030"
"11/21/2012","TUDOR INVESTORS","028","DAN","S","5,000","13.70","150.00","0.030"
"11/21/2012","TUDOR INVESTORS","028","DCI","B","5,000","33.19","150.00","0.030"
"11/26/2012","TUDOR INVESTORS","028","DCI","SS","1,420","33.78","42.60","0.030"
"12/13/2012","TUDOR INVESTORS","028","DECK","S","25,000","38.95","750.00","0.030"
"11/26/2012","TUDOR INVESTORS","028","DLPH","S","5,000","33.50","150.00","0.030"
"11/07/2012","TUDOR INVESTORS","028","DLTR","SS","125,000","38.58","3,750.00","0.030"
"11/26/2012","TUDOR INVESTORS","028","ETN","B","4,000","51.45","120.00","0.030"
"11/29/2012","TUDOR INVESTORS","028","F","B","45,000","11.37","1,350.00","0.030"
"09/19/2012","TUDOR INVESTORS","028","FDX","B","5,000","87.04","150.00","0.030"
"10/11/2012","TUDOR INVESTORS","028","FDX","S","5,000","92.31","150.00","0.030"
"11/26/2012","TUDOR INVESTORS","028","GE","S","25,000","20.98","750.00","0.030"
"12/05/2012","TUDOR INVESTORS","028","GGC","B","5,000","43.97","150.00","0.030"
"11/26/2012","TUDOR INVESTORS","028","GGC","SS","5,000","45.28","150.00","0.030"
"09/20/2012","TUDOR INVESTORS","028","GWR","B","8,000","64.94","240.00","0.030"
"12/07/2012","TUDOR INVESTORS","028","HOTT","B","50,000","9.98","1,500.00","0.030"
"12/13/2012","TUDOR INVESTORS","028","IP","B","10,000","37.98","300.00","0.030"
"11/16/2012","TUDOR INVESTORS","028","IP","SS","10,000","33.86","300.00","0.015"
"12/03/2012","TUDOR INVESTORS","028","ITW","SS","5,000","61.84","150.00","0.030"
"09/19/2012","TUDOR INVESTORS","028","JCI","B","10,000","28.68","300.00","0.030"
"11/26/2012","TUDOR INVESTORS","028","JCI","B","10,000","26.93","300.00","0.030"
"10/09/2012","TUDOR INVESTORS","028","JOY","S","5,000","57.89","150.00","0.030"
"12/07/2012","TUDOR INVESTORS","028","KSU","S","5,000","79.24","150.00","0.030"
"11/26/2012","TUDOR INVESTORS","028","LECO","SS","5,000","45.81","150.00","0.030"
"12/03/2012","TUDOR INVESTORS","028","LECO","SS","3,000","46.74","90.00","0.030"
"10/11/2012","TUDOR INVESTORS","028","LEN","B","5,000","36.27","150.00","0.030"
"11/26/2012","TUDOR INVESTORS","028","LEN","B","5,000","38.12","150.00","0.030"
"12/13/2012","TUDOR INVESTORS","028","LOW","B","50,000","35.04","1,500.00","0.030"
"10/17/2012","TUDOR INVESTORS","028","MCD","SS","75,000","93.49","2,250.00","0.030"
"09/19/2012","TUDOR INVESTORS","028","MGA","SS","5,000","46.07","150.00","0.030"
"10/02/2012","TUDOR INVESTORS","028","MGA","SS","5,000","44.16","150.00","0.030"
"10/09/2012","TUDOR INVESTORS","028","MHK","B","3,000","79.68","90.00","0.030"
"12/13/2012","TUDOR INVESTORS","028","MLM","S","5,000","92.75","150.00","0.030"
