"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"09/29/2011"," NUVEEN - US BANCORP              ","030","ACC","S","24,977","37.48","1,123.97","0.045"
"07/14/2011"," NUVEEN - US BANCORP              ","030","BC","S","18,155","18.74","816.98","0.045"
"08/31/2011"," NUVEEN - US BANCORP              ","030","BRCD","S","65,859","3.83","2,963.66","0.045"
"11/15/2011"," NUVEEN - US BANCORP              ","030","CBZ","S","60,760","5.75","2,734.20","0.045"
"09/29/2011"," NUVEEN - US BANCORP              ","030","GKSR","B","5,776","26.12","259.92","0.045"
"09/29/2011"," NUVEEN - US BANCORP              ","030","IYR","B","11,755","51.60","528.98","0.045"
"07/01/2011"," NUVEEN - US BANCORP              ","030","JOYG","B","40,592","95.94","1,826.66","0.045"
"06/08/2011"," NUVEEN - US BANCORP              ","030","LTM","B","28,374","33.68","1,276.84","0.045"
"10/24/2011"," NUVEEN - US BANCORP              ","030","LZB","B","21,713","9.48","977.09","0.045"
"07/14/2011"," NUVEEN - US BANCORP              ","030","PCLN","S","4,586","522.41","206.39","0.045"
"10/26/2011"," NUVEEN - US BANCORP              ","030","RFMD","S","34,119","7.52","1,535.36","0.045"
"10/24/2011"," NUVEEN - US BANCORP              ","030","TEN","S","8,092","35.50","364.14","0.045"
"09/30/2011"," NUVEEN - US BANCORP              ","030","ULTA","S","33,251","63.03","1,496.32","0.045"
"10/07/2011"," NUVEEN - US BANCORP              ","030","VRX","B","52,127","35.89","2,345.73","0.045"
"07/14/2011"," NUVEEN - US BANCORP              ","030","WTW","S","33,831","74.54","1,522.42","0.045"
"07/14/2011"," NUVEEN - US BANCORP              ","030","WYNN","S","20,521","158.00","923.46","0.045"
"07/29/2011","AMBER CAPITAL           ","046","BBY","B","71,168","27.68","2,846.72","0.040"
"07/26/2011","AMBER CAPITAL           ","046","BTU","SS","20,000","59.73","800.00","0.040"
"01/26/2011","AMBER CAPITAL           ","046","C","B","235,521","4.86","7,065.63","0.030"
"04/01/2011","AMBER CAPITAL           ","046","C","B","33,400","4.46","1,002.00","0.030"
"06/29/2011","AMBER CAPITAL           ","046","CHTR","S","11,897","54.19","475.88","0.040"
"08/05/2011","AMBER CAPITAL           ","046","CHTR","S","167,908","45.98","6,716.32","0.040"
"06/23/2011","AMBER CAPITAL           ","046","CIT","S","12,000","42.63","480.00","0.040"
"06/24/2011","AMBER CAPITAL           ","046","CIT","S","16,000","42.41","640.00","0.040"
"06/28/2011","AMBER CAPITAL           ","046","CIT","S","2,700","43.24","108.00","0.040"
"06/29/2011","AMBER CAPITAL           ","046","CIT","S","10,300","43.89","412.00","0.040"
"06/23/2011","AMBER CAPITAL           ","046","DCOM","B","35,200","14.12","1,408.00","0.040"
"06/24/2011","AMBER CAPITAL           ","046","DCOM","B","50,000","14.34","2,000.00","0.040"
"06/28/2011","AMBER CAPITAL           ","046","DCOM","B","7,900","14.34","316.00","0.040"
"06/29/2011","AMBER CAPITAL           ","046","DCOM","B","31,261","14.40","1,250.44","0.040"
"06/30/2011","AMBER CAPITAL           ","046","DCOM","B","249","14.40","9.96","0.040"
"06/15/2011","AMBER CAPITAL           ","046","ENR","B","9,000","69.67","360.00","0.040"
"07/26/2011","AMBER CAPITAL           ","046","GIL","B","20,000","32.57","800.00","0.040"
"03/23/2011","AMBER CAPITAL           ","046","GIS","B","111,000","36.07","4,440.00","0.040"
"06/27/2011","AMBER CAPITAL           ","046","GIS","S","300,000","37.20","12,000.00","0.040"
"04/13/2011","AMBER CAPITAL           ","046","HCBK","SS","181,000","9.76","7,240.00","0.040"
"06/14/2011","AMBER CAPITAL           ","046","HOG","B","24,700","35.80","988.00","0.040"
"06/15/2011","AMBER CAPITAL           ","046","HOG","B","49,000","35.86","1,960.00","0.040"
"06/24/2011","AMBER CAPITAL           ","046","KFT","B","62,738","34.48","2,509.52","0.040"
"06/09/2011","AMBER CAPITAL           ","046","S","B","500,000","5.44","15,000.00","0.030"
"06/29/2011","AMBER CAPITAL           ","046","S","B","65,620","5.29","1,968.60","0.030"
"05/13/2011","AMBER CAPITAL           ","046","S","SS","350,000","5.10","7,000.00","0.020"
"04/06/2011","AMBER CAPITAL           ","046","SNI","B","42,500","50.87","1,700.00","0.040"
"08/04/2011","AMBER CAPITAL           ","046","SNV","S","349,932","1.65","3,499.32","0.010"
"05/02/2011","AMBER CAPITAL           ","046","SONC","B","286,637","11.59","11,465.48","0.040"
"05/03/2011","AMBER CAPITAL           ","046","SONC","B","102,363","11.71","4,094.52","0.040"
"05/18/2011","AMBER CAPITAL           ","046","TSU","B","57,444","48.39","2,297.76","0.040"
"05/19/2011","AMBER CAPITAL           ","046","TSU","B","25,000","48.45","1,000.00","0.040"
"06/29/2011","AMBER CAPITAL           ","046","TWC","B","3,378","77.62","135.12","0.040"
"06/29/2011","AMBER CAPITAL           ","046","VZ","B","3,108","36.72","124.32","0.040"
"09/12/2011","FARBER/WEISS PECK       ","085","ANF","B","10,200","62.30","408.00","0.040"
"10/20/2011","FARBER/WEISS PECK       ","085","ARCO","B","55,000","22.07","2,200.00","0.040"
"10/31/2011","FARBER/WEISS PECK       ","085","ARCO","B","17,500","22.95","700.00","0.040"
"11/11/2011","FARBER/WEISS PECK       ","085","ARCO","B","50,000","21.67","2,000.00","0.040"
"11/14/2011","FARBER/WEISS PECK       ","085","ARCO","B","27,500","21.71","1,100.00","0.040"
"09/12/2011","FARBER/WEISS PECK       ","085","CMI","SS","7,500","85.87","300.00","0.040"
"09/12/2011","FARBER/WEISS PECK       ","085","CS","SS","7,500","22.42","300.00","0.040"
"11/18/2011","FARBER/WEISS PECK       ","085","DE","SS","10,500","74.40","420.00","0.040"
"09/12/2011","FARBER/WEISS PECK       ","085","EWZ","B","13,500","59.81","540.00","0.040"
