"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"12/11/2013"," NUVEEN - US BANCORP              ","030","SIRI","S","221,400","3.55","6,642.00","0.030"
"12/05/2013","1798 CAP/LOMBARD ASSET      ","040","ORIG","S","100,000","20.50","5,000.00","0.050"
"11/26/2013","ACK ASSET               ","028","BRP","B","38,208","21.33","1,146.24","0.030"
"11/27/2013","ACK ASSET               ","028","BRP","B","119,404","21.53","3,582.12","0.030"
"12/13/2013","ACK ASSET               ","028","CHRW","SS","70,000","56.29","2,100.00","0.030"
"12/11/2013","ACK ASSET               ","028","CNW","SS","40,000","40.08","1,200.00","0.030"
"12/06/2013","ACK ASSET               ","028","DFRG","B","50,000","19.50","1,500.00","0.030"
"12/06/2013","ACK ASSET               ","028","KNX","B","40,000","18.15","1,200.00","0.030"
"12/18/2013","ACK ASSET               ","028","LAD","SS","42,600","67.59","1,278.00","0.030"
"12/13/2013","ACK ASSET               ","028","PGTI","B","50,000","9.90","1,500.00","0.030"
"12/04/2013","AH LISANTI","006","GIII","B","14,590","64.16","729.50","0.050"
"11/27/2013","ALTIMETER CAPITAL MGMT.","029","ZNGA","S","200,000","4.40","8,000.00","0.040"
"12/18/2013","AMICI CAPITAL N/C","044","IBN","B","70,000","37.09","2,800.00","0.040"
"12/18/2013","AMICI CAPITAL N/C","044","NOV","B","50,000","77.47","2,000.00","0.040"
"12/03/2013","APEX CAPITAL MGMT.      ","033","AFSI","SS","28,700","40.47","1,148.00","0.040"
"12/20/2013","APEX CAPITAL MGMT.      ","033","CLF","B","50,000","24.46","2,000.00","0.040"
"12/03/2013","APEX CAPITAL MGMT.      ","033","INTU","S","3,700","74.48","148.00","0.040"
"12/03/2013","APEX CAPITAL MGMT.      ","033","LL","SS","20,100","95.75","804.00","0.040"
"12/03/2013","APEX CAPITAL MGMT.      ","033","MR","SS","30,900","41.34","1,236.00","0.040"
"12/03/2013","APEX CAPITAL MGMT.      ","033","PRGO","B","12,000","155.51","480.00","0.040"
"12/03/2013","APEX CAPITAL MGMT.      ","033","ULTI","C","6,500","153.67","260.00","0.040"
"12/19/2013","ARDSLEY PARTNERS        ","280","APOG","C","15,000","35.52","750.00","0.050"
"12/03/2013","ARDSLEY PARTNERS        ","280","ARCP","B","200,000","13.31","10,000.00","0.050"
"12/19/2013","ARDSLEY PARTNERS        ","280","GM","S","20,000","40.86","1,000.00","0.050"
"12/18/2013","ARDSLEY PARTNERS        ","280","LNN","C","5,000","82.70","250.00","0.050"
"12/19/2013","ARDSLEY PARTNERS        ","280","MTZ","B","25,000","30.45","1,250.00","0.050"
"12/18/2013","ARDSLEY PARTNERS        ","280","PNW","SS","10,000","52.92","500.00","0.050"
"12/19/2013","ARDSLEY PARTNERS        ","280","PNW","SS","5,000","53.10","250.00","0.050"
"12/18/2013","ARDSLEY PARTNERS        ","280","RH","C","7,500","65.03","375.00","0.050"
"12/18/2013","ARDSLEY PARTNERS        ","280","SUNE","B","25,000","11.80","1,250.00","0.050"
"12/11/2013","ARDSLEY PARTNERS        ","280","TSL","C","150,000","11.90","7,500.00","0.050"
"12/19/2013","ARDSLEY PARTNERS        ","280","URI","S","5,000","75.32","250.00","0.050"
"12/17/2013","ARDSLEY PARTNERS        ","280","VJET","C","30,000","35.69","1,500.00","0.050"
"12/16/2013","ASCEND PARTNERS         ","033","ABEV","S","250,000","7.07","5,000.00","0.020"
"12/12/2013","ASCEND PARTNERS         ","033","AGU","S","7,698","88.04","230.94","0.030"
"12/12/2013","ASCEND PARTNERS         ","033","AMGN","SS","10,000","112.86","300.00","0.030"
"12/12/2013","ASCEND PARTNERS         ","033","BHI","C","75,000","53.10","2,250.00","0.030"
"12/19/2013","ASCEND PARTNERS         ","033","BWC","B","40,000","33.31","1,200.00","0.030"
"12/12/2013","ASCEND PARTNERS         ","033","CF","B","800","226.75","24.00","0.030"
"12/23/2013","ASCEND PARTNERS         ","033","CHS","C","34,446","18.69","1,033.38","0.030"
"12/12/2013","ASCEND PARTNERS         ","033","CMI","B","20,000","129.35","600.00","0.030"
"12/06/2013","ASCEND PARTNERS         ","033","HBI","B","24,929","69.09","747.87","0.030"
"12/12/2013","ASCEND PARTNERS         ","033","HRB","C","100,000","28.15","3,000.00","0.030"
"12/16/2013","ASCEND PARTNERS         ","033","KORS","B","25,000","82.13","750.00","0.030"
"12/13/2013","ASCEND PARTNERS         ","033","MJN","S","16,450","84.08","493.50","0.030"
"12/09/2013","ASCEND PARTNERS         ","033","MTZ","B","2,900","31.38","87.00","0.030"
"12/10/2013","ASCEND PARTNERS         ","033","MTZ","B","20,305","31.86","609.15","0.030"
"12/13/2013","ASCEND PARTNERS         ","033","RH","S","70,000","63.89","2,100.00","0.030"
"12/09/2013","ASCEND PARTNERS         ","033","SYY","C","140,000","37.89","4,200.00","0.030"
"12/18/2013","BADGE CAPITAL","030","ACRE","B","1,000","12.87","35.00","0.035"
"12/19/2013","BADGE CAPITAL","030","ACRE","B","1,000","12.80","35.00","0.035"
"12/04/2013","BADGE CAPITAL","030","IP","S","900","46.09","31.50","0.035"
"12/09/2013","BADGE CAPITAL","030","KSS","B","1,000","54.60","35.00","0.035"
"12/19/2013","BADGE CAPITAL","030","PFE","S","1,500","30.88","52.50","0.035"
"12/13/2013","BALYASNY ASSET MGMT     ","044","AWI","B","25,000","54.54","1,250.00","0.050"
"12/10/2013","BALYASNY ASSET MGMT     ","044","CAT","C","25,000","86.75","1,250.00","0.050"
"12/11/2013","BALYASNY ASSET MGMT     ","044","CHRW","SS","25,000","57.35","1,250.00","0.050"
"12/16/2013","BALYASNY ASSET MGMT     ","044","DG","B","50,000","60.58","2,500.00","0.050"
"12/23/2013","BALYASNY ASSET MGMT     ","044","F","SS","75,000","15.15","3,750.00","0.050"
"12/16/2013","BALYASNY ASSET MGMT     ","044","FINL","S","15,000","25.39","750.00","0.050"
"12/19/2013","BALYASNY ASSET MGMT     ","044","FINL","S","40,000","26.20","2,000.00","0.050"
"12/17/2013","BALYASNY ASSET MGMT     ","044","GIS","C","90,000","49.58","4,500.00","0.050"
"12/23/2013","BALYASNY ASSET MGMT     ","044","GM","S","50,000","41.25","2,500.00","0.050"
"12/16/2013","BALYASNY ASSET MGMT     ","044","IFF","B","15,000","84.28","750.00","0.050"
"12/13/2013","BALYASNY ASSET MGMT     ","044","KORS","B","25,000","82.00","1,250.00","0.050"
"12/16/2013","BALYASNY ASSET MGMT     ","044","KSS","S","221,913","54.18","11,095.65","0.050"
"12/11/2013","BALYASNY ASSET MGMT     ","044","PWR","B","25,000","29.00","1,250.00","0.050"
"12/16/2013","BALYASNY ASSET MGMT     ","044","RL","B","30,000","175.73","1,500.00","0.050"
"12/13/2013","BALYASNY ASSET MGMT     ","044","VMC","B","25,000","56.10","1,250.00","0.050"
"12/17/2013","BARON ASSET MGMT*       ","006","BERY","S","55,000","21.53","1,650.00","0.030"
"12/17/2013","BARON ASSET MGMT*       ","006","CHRW","S","30,000","56.31","1,200.00","0.040"
"12/20/2013","BARON ASSET MGMT*       ","006","CHRW","S","50,000","56.82","2,000.00","0.040"
"12/19/2013","BARON ASSET MGMT*       ","006","FOR","S","80,000","20.23","2,400.00","0.030"
"11/26/2013","BARON ASSET MGMT*       ","006","HOT","B","16,400","74.61","656.00","0.040"
"12/06/2013","BARON ASSET MGMT*       ","006","RALY","B","140,000","19.32","4,200.00","0.030"
"12/17/2013","BARON ASSET MGMT*       ","006","RH","B","14,000","63.96","560.00","0.040"
"12/19/2013","BARON ASSET MGMT*       ","006","RYAAY","S","41,000","45.92","1,640.00","0.040"
