"Date","Client Code","Client Name","Amount","Type","Reps","Rep#","Comments","Entered By"
"2014-01-31","CATJ","CATAPULT - JC","1641.09","Research - Research"," JC  ","'006'","","Estelle Rolon"
"2014-01-30","BLUA","BLUE ARROW","1330.00","Research - Research"," DR  ","'040'","","Estelle Rolon"
"2014-01-30","ARMA","ARMATURE CAPITAL        ","570.00","Research - Research"," CC  ","'041'","","Estelle Rolon"
"2014-01-27","MNCL","MONTCLAIR GLOBAL","1500.00","Research - Research"," JC  ","'006'","","Estelle Rolon"
"2014-01-24","BLUA","BLUE ARROW","1900.00","Research - Research"," DR  ","'040'","","Estelle Rolon"
"2014-01-23","TRUS","TRUSTCO/SUNTRUST (CEREDEX)    ","16766.00","Research - Research"," DR  ","'040'","","Estelle Rolon"
"2014-01-21","GOVE","GOVERNMENT OF SINGAPORE INVESTMENT","23909.00","Research - Research"," ME  ","'085'","","Estelle Rolon"
"2014-01-21","ROBX","ROBERTSON STEVENS     ","11500.00","Research - Research"," RS  ","'084'","","Estelle Rolon"
"2014-01-21","COLC","COLUMBUS CIRCLE         ","24750.00","Research - Research"," ML  ","'036'","","Estelle Rolon"
"2014-01-21","SAML","SAMLYN                  ","20000.00","Research - Research"," FM  ","'028'","","Estelle Rolon"
"2014-01-21","THOM","THOMSON/INDEPENDENT     ","2014.42","Research - Research","   ","''","","Estelle Rolon"
"2014-01-17","WEIS","GEORGE WEISS            ","12000.00","Research - Research"," FM IM ","'278'","","Estelle Rolon"
"2014-01-15","TCIF","THE CHILDRENS INVESTMENTS FUND","5200.00","Research - Research"," ME  ","'085'","","Estelle Rolon"
"2014-01-14","TREA","TREADNEEDLE ASSET       ","90565.45","Research - Research"," ME  ","'085'","","Estelle Rolon"
"2014-01-10","TIME","TIME SQUARE CAP MGMT    ","15500.00","Research - Research"," JC  ","'006'","","Estelle Rolon"
"2014-01-10","BLHI","BLUE HILL CAPITAL","7997.68","Research - Research"," AS  ","'031'","","Estelle Rolon"
"2014-01-10","JANU","JANUS CAPITAL CORP      ","25000.00","Research - Research"," KO  ","'046'","","Estelle Rolon"
"2014-01-10","DECA","DECADE CAPITAL PARTNERS ","3345.00","Research - Research"," JC  ","'006'","","Estelle Rolon"
"2014-01-10","PIOO","PIONEER OAKRIDGE        ","3500.00","Research - Research"," AS  ","'031'","","Estelle Rolon"
"2014-01-10","BLHI","BLUE HILL CAPITAL","3610.50","Research - Research"," AS  ","'031'","","Estelle Rolon"
"2014-01-08","FACT","FACTSET","563.81","Research - Research","   ","''","","Estelle Rolon"
"2014-01-07","GLAB","GLADE BROOK CAPITAL","9306.00","Research - Research"," NP  ","'029'","","Estelle Rolon"
"2014-01-07","COLM","COLUMBIA MGMT           ","7410.00","Research - Research"," BC  ","'033'","","Estelle Rolon"
"2014-01-07","CHAT","CHART WELL ADV          ","20000.00","Research - Research"," FM  ","'028'","","Estelle Rolon"
"2014-01-07","COMC","COLUMBIA MGMT","5985.00","Research - Research"," CC  ","'041'","","Estelle Rolon"
"2014-01-07","TACO","TACONIC","20000.00","Research - Research"," ME  ","'085'","","Estelle Rolon"
"2014-01-07","COLJ","COLUMBIA MGMT  ","8264.00","Research - Research"," NP  ","'029'","","Estelle Rolon"
"2014-01-07","COMG","COLUMBIA MGMT","6840.00","Research - Research"," MG  ","'030'","","Estelle Rolon"
"2014-01-02","ISFM","CONIFER/ISF MANAGEMENT","2500.00","Research - Research"," IM  ","'025'","","Estelle Rolon"
"2014-01-02","JPMB","MORGAN BANK /JPM        ","42033.00","Research - Research"," SM  ","'070'","","Estelle Rolon"
"2014-01-02","DELM","DELAWARE MANAGEMENT     ","11100.00","Research - Research"," FM DR ","'281'","","Estelle Rolon"
"2014-01-02","MARC","MARCATO CAPITAL MGMT.","21331.71","Research - Research"," NP  ","'029'","","Estelle Rolon"
"2014-01-02","OSTE","OSTERWEIS CAPITAL","4000.00","Research - Research"," RS  ","'084'","","Estelle Rolon"
"2014-01-02","CARL","CARLSON CAPITAL         ","5000.00","Research - Research"," AS  ","'031'","","Estelle Rolon"
"2014-01-02","TOUB","TOURBILLION CAPITAL","15000.00","Research - Research"," CC  ","'041'","","Estelle Rolon"
"2014-01-02","TRIO","TRIOAKS CAPITAL","2000.00","Research - Research"," FM  ","'028'","","Estelle Rolon"
"2014-01-02","MASO","MASON CAPITAL           ","75000.00","Research - Research"," FM  ","'028'","","Estelle Rolon"
"2014-01-02","MARC","MARCATO CAPITAL MGMT.","1537.40","Research - Research"," NP  ","'029'","","Estelle Rolon"
"2014-01-02","CAPI","CAPITAL IQ","2269.02","Research - Research"," BRG  ","'091'","","Estelle Rolon"
"2014-01-02","SGCA","SG CAPITAL/CEDAR STREET FUNDS","3000.00","Research - Research"," AS BE ","'307'","","Estelle Rolon"
"2014-01-02","CONA","CONATUS CAPITAL         ","4000.00","Research - Research"," ML  ","'036'","","Estelle Rolon"
"2014-01-02","BRIC","BRIGADE CAPITAL MGMT    ","41000.00","Research - Research"," NP  ","'029'","","Estelle Rolon"
"2014-01-02","MARC","MARCATO CAPITAL MGMT.","77130.89","Research - Research"," NP  ","'029'","","Estelle Rolon"
"2014-01-02","CHSA","CHESAPEAKE PARTNERS","7500.00","Research - Research"," FM  ","'028'","","Estelle Rolon"
"2014-01-02","BTIG","KDI CAPITAL PARTNERS     ","2500.00","Research - Research"," IM  ","'025'","","Estelle Rolon"
