"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"04/12/2012","ACK ASSET               ","028","AIT","SS","19,000","39.12","570.00","0.030"
"12/21/2012","ACK ASSET               ","028","ATVI","SS","280,000","10.65","8,400.00","0.000"
"09/07/2012","ACK ASSET               ","028","AXL","B","50,000","12.39","1,500.00","0.000"
"10/17/2012","ACK ASSET               ","028","AXL","B","50,400","12.17","1,512.00","0.000"
"12/18/2012","ACK ASSET               ","028","BDE","S","3,500","8.01","105.00","0.000"
"02/24/2012","ACK ASSET               ","028","CAT","B","9,112","116.88","273.36","0.030"
"12/06/2012","ACK ASSET               ","028","CIR","B","19,406","35.56","582.18","0.000"
"07/25/2012","ACK ASSET               ","028","DAN","B","135,000","11.47","4,050.00","0.030"
"10/25/2012","ACK ASSET               ","028","DAN","B","32,121","13.17","963.63","0.000"
"03/14/2012","ACK ASSET               ","028","DRI","SS","30,000","52.47","900.00","0.030"
"03/15/2012","ACK ASSET               ","028","EME","B","15,000","28.18","450.00","0.030"
"12/19/2012","ACK ASSET               ","028","FDX","SS","34,000","94.56","1,020.00","0.000"
"12/03/2012","ACK ASSET               ","028","GMT","S","2,753","42.01","82.59","0.015"
"12/04/2012","ACK ASSET               ","028","GMT","S","22,247","41.75","667.41","0.000"
"01/20/2012","ACK ASSET               ","028","GMT","SS","33,000","42.74","990.00","0.030"
"12/20/2012","ACK ASSET               ","028","IFSIA","B","25,000","15.99","750.00","0.000"
"12/21/2012","ACK ASSET               ","028","IFSIA","B","12,898","15.84","386.94","0.000"
"06/29/2012","ACK ASSET               ","028","LULU","SS","26,000","59.31","780.00","0.030"
"02/09/2012","ACK ASSET               ","028","MTRN","B","25,738","30.53","772.14","0.030"
"09/07/2012","ACK ASSET               ","028","MTW","B","50,000","14.56","1,500.00","0.000"
"01/06/2012","ACK ASSET               ","028","MWV","SS","100,000","29.54","3,000.00","0.030"
"11/26/2012","ACK ASSET               ","028","NCS","B","10,000","12.53","300.00","0.015"
"03/22/2012","ACK ASSET               ","028","PNK","S","24,085","10.47","722.55","0.030"
