"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"12/27/2013"," NUVEEN - US BANCORP              ","030","SWFT","B","18,830","22.35","847.36","0.045"
"01/27/2014","1798 CAP/LOMBARD ASSET      ","040","SUNE","S","91,000","13.91","4,550.00","0.050"
"01/22/2014","AAD CAPITAL             ","084","FSC","S","15,000","9.47","450.00","0.030"
"01/10/2014","ACK ASSET               ","028","CHRW","B","70,900","57.33","2,127.00","0.030"
"01/17/2014","ACK ASSET               ","028","DLTR","SS","40,000","54.03","1,200.00","0.030"
"12/31/2013","ACK ASSET               ","028","SBUX","SS","27,500","78.13","825.00","0.030"
"01/22/2014","ADAGE CAPITAL MGMT      ","310","M","S","100,000","55.28","3,000.00","0.030"
"01/21/2014","ADAGE CAPITAL MGMT      ","310","MW","S","6,412","50.56","192.36","0.030"
"01/22/2014","ADAGE CAPITAL MGMT      ","310","MW","S","800","49.97","24.00","0.030"
"01/21/2014","ADAGE CAPITAL MGMT      ","310","SWY","B","16,918","31.84","507.54","0.030"
"01/22/2014","ADAGE CAPITAL MGMT      ","310","SWY","B","33,082","31.74","992.46","0.030"
"01/23/2014","ADAGE CAPITAL MGMT      ","310","SWY","B","100,000","31.30","3,000.00","0.030"
"01/24/2014","ADAGE CAPITAL MGMT      ","310","SWY","B","100,000","31.07","3,000.00","0.030"
"01/27/2014","ADAGE CAPITAL MGMT      ","310","SWY","B","50,000","31.12","1,500.00","0.030"
"01/28/2014","ADAGE CAPITAL MGMT      ","310","SWY","B","50,000","31.36","1,500.00","0.030"
"01/21/2014","AH LISANTI","006","BWLD","S","6,990","137.83","349.50","0.050"
"01/27/2014","ALTIMETER CAPITAL MGMT.","309","UAL","B","73,083","43.99","2,923.32","0.040"
"01/17/2014","APEX CAPITAL MGMT.      ","033","RAD","B","150,000","5.79","4,500.00","0.030"
"01/09/2014","ARDSLEY PARTNERS        ","306","ASHR","S","225,000","23.18","11,250.00","0.050"
"01/06/2014","ARDSLEY PARTNERS        ","306","C","B","75,000","53.82","3,750.00","0.050"
"01/07/2014","ARDSLEY PARTNERS        ","306","DLPH","B","10,000","60.23","500.00","0.050"
