"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"02/10/2014","ADAGE CAPITAL MGMT      ","310","SWY","B","26,445","32.01","793.35","0.030"
"02/10/2014","APEX CAPITAL MGMT.      ","033","AAPL","B","200","519.87","8.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","APA","B","800","81.15","32.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","BID","B","500","45.80","20.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","CF","B","300","233.72","12.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","CXO","B","700","107.34","28.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","EQIX","B","900","186.22","36.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","MELI","B","700","95.60","28.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","NBL","B","1,000","65.71","40.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","NFLX","B","900","428.97","36.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","PKI","B","1,000","43.81","40.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","PRGO","B","800","145.40","32.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","PVH","B","600","121.50","24.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","ROST","B","1,000","69.18","40.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","SBUX","B","1,000","74.54","40.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","TCS","B","700","38.50","28.00","0.040"
"02/10/2014","APEX CAPITAL MGMT.      ","033","TRMB","B","700","31.84","28.00","0.040"
"02/10/2014","ARDSLEY PARTNERS/RIDGECREST      ","306","BCOR","B","25,000","24.66","1,250.00","0.050"
"02/10/2014","ARDSLEY PARTNERS/RIDGECREST      ","306","DE","C","25,000","87.57","1,250.00","0.050"
"02/10/2014","ARDSLEY PARTNERS/RIDGECREST      ","306","SSO","S","5,000","96.65","200.00","0.040"
"02/10/2014","ARDSLEY PARTNERS/RIDGECREST      ","306","UWM","S","5,000","77.57","200.00","0.040"
"02/10/2014","ASCEND PARTNERS         ","033","FL","B","36,400","38.46","1,092.00","0.030"
"02/10/2014","BARROW HANLEY MEWHINNEY ","031","F","B","1,000,000","14.90","35,000.00","0.035"
"02/10/2014","CAPITAL WORLD","084","PEP","S","455,825","80.54","15,953.88","0.035"
"02/10/2014","CASTLEROCK              ","040","CAKE","B","2,000","44.77","40.00","0.020"
"02/10/2014","CHARTERBRIDGE CAPITAL","025","TPX","SS","40,000","45.75","1,200.00","0.030"
"02/10/2014","CR INTRINIC INVESTMENT  ","044","BBY","SS","20,000","24.22","600.00","0.030"
"02/10/2014","CR INTRINIC INVESTMENT  ","044","CVS","B","10,000","66.84","300.00","0.030"
"02/10/2014","CR INTRINIC INVESTMENT  ","044","KSS","SS","10,000","50.72","300.00","0.030"
"02/10/2014","CSFB GLOBAL PROPRIETARY ","041","RKT","B","15,000","103.45","750.00","0.050"
"02/10/2014","CYRUS CAPITAL","025","DAL","S","100,000","31.01","3,000.00","0.030"
"02/10/2014","EPOCH INV MGMT          ","030","BWS","B","37,467","23.74","1,124.01","0.030"
"02/10/2014","EVERGREEN","047","CHD","B","50,382","64.82","2,015.28","0.040"
"02/10/2014","FRED ALGER MGMT         ","300","CVS","B","215,623","66.76","7,762.43","0.036"
"02/10/2014","FRED ALGER MGMT         ","300","FNGN","S","13,200","60.11","475.20","0.036"
"02/10/2014","HOLLIS CAPITAL          ","033","LGF","B","5,000","32.05","250.00","0.050"
"02/10/2014","IRIDIAN ASSET      ","036","SEE","B","85,700","31.94","4,285.00","0.050"
"02/10/2014","J. GOLDMAN         ","028","DDS","C","15,000","86.69","600.00","0.040"
"02/10/2014","J. GOLDMAN         ","028","MON","SS","30,000","111.29","1,200.00","0.040"
"02/10/2014","KLEINHEINZ CAP PART     ","031","TCK","B","400,000","24.84","20,000.00","0.050"
"02/10/2014","KLEINHEINZ CAP PART     ","031","XRT","S","150,000","80.39","7,500.00","0.050"
"02/10/2014","LAKEWOOD CAPITAL MGMT","085","AIG","B","7,000","48.90","210.00","0.030"
"02/10/2014","LAKEWOOD CAPITAL MGMT","085","PRKR","SS","10,000","4.80","300.00","0.030"
"02/10/2014","LEVIN CAPITAL STRATEGIES","041","CWH","S","34,967","25.79","1,049.01","0.030"
"02/10/2014","MOORE CAPITAL           ","257","GPS","B","24,000","41.85","720.00","0.030"
"02/10/2014","MOORE CAPITAL           ","257","HOG","B","15,500","64.59","465.00","0.030"
"02/10/2014","MOORE CAPITAL           ","257","XLB","C","50,000","44.86","1,500.00","0.030"
"02/10/2014","NEW VERNON/SF INVESTMENTS","031","WNC","B","124,000","12.31","6,200.00","0.050"
"02/10/2014","NOKOMIS PARTNERS        ","031","UNG","B","150,000","22.97","4,500.00","0.030"
"02/10/2014","PRIMECAP MGMT           ","084","ABT","B","10,000","37.20","400.00","0.040"
"02/10/2014","PRIMECAP MGMT           ","084","TMO","B","3,000","118.56","120.00","0.040"
"02/10/2014","S.A.C. CAPITAL ","044","IP","B","10,000","47.86","300.00","0.030"
"02/10/2014","SAC CHRIS C             ","041","OFIX","B","11,000","20.89","330.00","0.030"
"02/10/2014","SEVEN LOCKS CAPITAL","025","NRF","B","135,000","14.29","4,050.00","0.030"
"02/10/2014","SURVEYOR CAPITAL","251","CHD","SS","45,811","64.79","1,832.44","0.040"
"02/10/2014","T. ROWE PRICE           ","243","TXI","S","54,660","79.75","2,186.40","0.040"
