"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"11/01/2012","WOOSTER CAPITAL         ","035","AXL","B","100,000","10.69","4,000.00","0.040"
"11/13/2012","WOOSTER CAPITAL         ","035","AXL","B","10,000","9.90","300.00","0.030"
"11/14/2012","WOOSTER CAPITAL         ","035","AXL","B","15,000","9.94","450.00","0.030"
"11/16/2012","WOOSTER CAPITAL         ","035","AXL","B","25,000","9.45","750.00","0.030"
"01/02/2013","WOOSTER CAPITAL         ","035","EMC","B","100,000","24.78","4,000.00","0.040"
"01/03/2013","WOOSTER CAPITAL         ","035","EMC","B","50,000","24.53","2,500.00","0.050"
"01/08/2013","WOOSTER CAPITAL         ","035","EMC","B","45,000","23.76","1,800.00","0.040"
"01/03/2013","WOOSTER CAPITAL         ","035","F","SS","100,000","13.60","4,000.00","0.040"
"12/21/2012","WOOSTER CAPITAL         ","035","GM","B","50,000","27.24","2,500.00","0.050"
"01/08/2013","WOOSTER CAPITAL         ","035","GM","B","25,000","29.35","1,000.00","0.040"
"09/26/2012","WOOSTER CAPITAL         ","035","LEA","B","10,000","37.47","500.00","0.050"
"01/03/2013","WOOSTER CAPITAL         ","035","LEA","B","40,000","47.65","2,000.00","0.050"
"11/14/2012","WOOSTER CAPITAL         ","035","LEA","S","25,000","40.40","1,250.00","0.050"
