"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"07/18/2011","ARCHON CAPITAL          ","035","ALGN","B","31,300","23.10","939.00","0.030"
"05/31/2011","ARCHON CAPITAL          ","035","CCSC","B","32,500","10.49","975.00","0.030"
"01/20/2011","ARCHON CAPITAL          ","035","DRIV","B","10,000","34.41","300.00","0.030"
"10/06/2011","ARCHON CAPITAL          ","035","DSW","S","20,000","49.39","600.00","0.030"
"05/17/2011","ARCHON CAPITAL          ","035","EGHT","B","125,000","2.86","3,750.00","0.030"
"07/28/2011","ARCHON CAPITAL          ","035","EQIX","S","10,000","105.69","300.00","0.030"
"08/03/2011","ARCHON CAPITAL          ","035","FNGN","S","158,000","22.86","4,740.00","0.030"
"10/05/2011","ARCHON CAPITAL          ","035","IRDM","SS","45,000","5.90","1,350.00","0.030"
"04/26/2011","ARCHON CAPITAL          ","035","NTSP","SS","70,000","11.20","2,100.00","0.030"
"10/06/2011","ARCHON CAPITAL          ","035","RT","B","14,000","6.84","420.00","0.030"
"05/31/2011","ARCHON CAPITAL          ","035","SMT","B","20,000","7.18","600.00","0.030"
"01/13/2011","ARCHON CAPITAL          ","035","SONC","SS","20,000","10.99","600.00","0.030"
"01/28/2011","ARCHON CAPITAL          ","035","STRI","B","5,000","18.17","150.00","0.030"
"07/13/2011","ARCHON CAPITAL          ","035","VPRT","S","15,800","47.13","474.00","0.030"
"03/28/2011","ARCHON CAPITAL          ","035","YGE","SS","95,000","12.54","2,850.00","0.030"
"04/13/2011","BALLAST CAP","040","AAP","B","2,000","64.00","100.00","0.050"
"03/31/2011","BALLAST CAP","040","AAP","SS","3,500","65.27","175.00","0.050"
"01/03/2011","BALLAST CAP","040","ABB","B","7,300","22.71","365.00","0.050"
"01/04/2011","BALLAST CAP","040","ABB","B","1,500","22.44","75.00","0.050"
"01/13/2011","BALLAST CAP","040","ABB","B","7,000","23.46","350.00","0.050"
"03/29/2011","BALLAST CAP","040","ABX","S","20,300","50.56","1,015.00","0.050"
"03/31/2011","BALLAST CAP","040","ACXM","B","24,200","14.13","1,210.00","0.050"
"05/02/2011","BALLAST CAP","040","ACXM","S","17,000","14.48","850.00","0.050"
"09/19/2011","BALLAST CAP","040","AEO","B","20,000","11.47","600.00","0.030"
"06/17/2011","BALLAST CAP","040","AH","SS","5,500","23.11","275.00","0.050"
"03/31/2011","BALLAST CAP","040","AKR","S","9,900","18.81","495.00","0.050"
"04/15/2011","BALLAST CAP","040","ATVI","B","20,900","11.17","1,045.00","0.050"
"04/13/2011","BALLAST CAP","040","AZO","B","500","279.26","25.00","0.050"
"03/31/2011","BALLAST CAP","040","AZO","SS","1,200","272.35","60.00","0.050"
"08/03/2011","BALLAST CAP","040","BC","B","10,000","19.84","500.00","0.050"
"08/04/2011","BALLAST CAP","040","BC","S","12,000","18.91","600.00","0.050"
"08/04/2011","BALLAST CAP","040","BGC","B","5,000","33.60","250.00","0.050"
"08/17/2011","BALLAST CAP","040","BGC","S","13,500","29.80","675.00","0.050"
"01/03/2011","BALLAST CAP","040","BIG","SS","2,730","30.53","136.50","0.050"
"01/04/2011","BALLAST CAP","040","BJRI","SS","1,100","33.61","55.00","0.050"
