"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"01/24/2013","TUDOR INVESTORS","028","ARG","B","5,000","91.75","150.00","0.030"
"01/31/2013","TUDOR INVESTORS","028","ASH","S","5,000","79.45","150.00","0.030"
"01/15/2013","TUDOR INVESTORS","028","AWI","B","5,000","54.20","150.00","0.030"
"01/24/2013","TUDOR INVESTORS","028","AWI","B","5,000","55.28","150.00","0.030"
"01/11/2013","TUDOR INVESTORS","028","AXL","B","30,000","11.44","900.00","0.030"
"01/15/2013","TUDOR INVESTORS","028","AXL","B","10,000","11.50","300.00","0.030"
"01/29/2013","TUDOR INVESTORS","028","AXL","B","10,000","12.03","300.00","0.030"
"01/30/2013","TUDOR INVESTORS","028","AXL","B","20,000","11.56","600.00","0.030"
"02/07/2013","TUDOR INVESTORS","028","AXL","S","25,000","11.66","750.00","0.030"
"01/31/2013","TUDOR INVESTORS","028","AXLL","SS","5,000","53.37","150.00","0.030"
"01/11/2013","TUDOR INVESTORS","028","BA","B","5,000","75.40","150.00","0.030"
"01/10/2013","TUDOR INVESTORS","028","BECN","S","5,000","34.76","150.00","0.030"
"01/11/2013","TUDOR INVESTORS","028","BGC","S","5,000","32.34","150.00","0.030"
"02/27/2013","TUDOR INVESTORS","028","BKE","B","12,500","44.30","375.00","0.030"
"02/07/2013","TUDOR INVESTORS","028","BKE","SS","12,500","45.09","375.00","0.030"
"01/31/2013","TUDOR INVESTORS","028","CCK","SS","10,000","38.58","300.00","0.030"
"01/24/2013","TUDOR INVESTORS","028","CHRW","B","3,000","67.42","90.00","0.030"
"01/31/2013","TUDOR INVESTORS","028","CHRW","B","3,000","66.78","90.00","0.030"
"01/14/2013","TUDOR INVESTORS","028","DAN","B","10,000","15.55","300.00","0.030"
"01/15/2013","TUDOR INVESTORS","028","DAN","B","15,000","15.49","450.00","0.030"
"02/07/2013","TUDOR INVESTORS","028","DAN","B","10,000","16.50","300.00","0.030"
"01/11/2013","TUDOR INVESTORS","028","DAN","SS","50,000","15.51","1,500.00","0.030"
"01/30/2013","TUDOR INVESTORS","028","DAN","SS","20,000","16.25","600.00","0.030"
"03/14/2013","TUDOR INVESTORS","028","EXPR","SS","50,000","17.78","1,500.00","0.030"
"01/29/2013","TUDOR INVESTORS","028","GM","B","60,000","28.41","1,800.00","0.030"
"01/30/2013","TUDOR INVESTORS","028","GM","B","10,000","28.27","300.00","0.030"
"01/31/2013","TUDOR INVESTORS","028","GM","B","10,000","28.10","300.00","0.030"
"01/08/2013","TUDOR INVESTORS","028","GPS","SS","50,000","31.91","1,500.00","0.030"
"01/10/2013","TUDOR INVESTORS","028","GWR","B","5,000","81.16","150.00","0.030"
"02/25/2013","TUDOR INVESTORS","028","HIBB","B","12,500","51.82","375.00","0.030"
"03/14/2013","TUDOR INVESTORS","028","HIBB","B","50,000","53.62","1,500.00","0.030"
"01/29/2013","TUDOR INVESTORS","028","IP","B","5,000","41.72","150.00","0.030"
"01/04/2013","TUDOR INVESTORS","028","IP","SS","5,000","40.23","150.00","0.030"
"01/23/2013","TUDOR INVESTORS","028","JBHT","B","5,000","63.81","150.00","0.030"
"01/15/2013","TUDOR INVESTORS","028","JBHT","SS","5,000","60.86","150.00","0.030"
"01/24/2013","TUDOR INVESTORS","028","JBHT","SS","10,000","65.68","300.00","0.030"
"01/24/2013","TUDOR INVESTORS","028","JCI","B","10,000","30.90","300.00","0.030"
"01/29/2013","TUDOR INVESTORS","028","JCI","S","30,000","30.97","900.00","0.030"
"01/04/2013","TUDOR INVESTORS","028","LECO","B","3,000","50.81","90.00","0.030"
"01/11/2013","TUDOR INVESTORS","028","LECO","SS","5,000","51.11","150.00","0.030"
"01/15/2013","TUDOR INVESTORS","028","LEN","S","5,000","40.46","150.00","0.030"
"02/20/2013","TUDOR INVESTORS","028","LULU","B","25,000","70.43","750.00","0.030"
"01/10/2013","TUDOR INVESTORS","028","MSM","B","5,000","73.91","150.00","0.030"
"01/15/2013","TUDOR INVESTORS","028","MTW","S","10,000","16.14","300.00","0.030"
"02/25/2013","TUDOR INVESTORS","028","NKE","S","25,000","54.64","750.00","0.030"
"01/31/2013","TUDOR INVESTORS","028","ODFL","SS","5,000","36.93","150.00","0.030"
"01/11/2013","TUDOR INVESTORS","028","PCP","B","2,000","187.75","60.00","0.030"
"01/24/2013","TUDOR INVESTORS","028","PCP","B","3,000","192.06","90.00","0.030"
"01/24/2013","TUDOR INVESTORS","028","PCP","SS","2,000","190.24","60.00","0.030"
"01/31/2013","TUDOR INVESTORS","028","PH","SS","5,000","93.53","150.00","0.030"
"01/10/2013","TUDOR INVESTORS","028","PNR","SS","5,000","50.66","150.00","0.030"
"01/31/2013","TUDOR INVESTORS","028","PPG","B","5,000","139.61","150.00","0.030"
"01/29/2013","TUDOR INVESTORS","028","PPO","B","5,000","38.09","150.00","0.030"
