Issue_Sym_Id,Issue_Short_Nm,Status,Issue_Type_Cd
AAAC,ASIA AUTOMATIVE,ACTIVE,Common Stock
AAACU,ASIA AUTOMOTV ACQ UT,ACTIVE,Unit
AAACW,ASIA AUTOMOTIVE WT,ACTIVE,Warrant
AAAE,AAA ENERGY INC,ACTIVE,Common Stock
AACS,AMERICAN COMM SOLUT,ACTIVE,Common Stock
AADG,ASIAN DRAGON GROUP,ACTIVE,Common Stock
AADI,ACADIA RESOURCES INC,ACTIVE,Common Stock
AAEX,ACROSS AMER RL ES EX,ACTIVE,Common Stock
AAFS,ACROSS AMERICA FINCL,ACTIVE,Common Stock
AAGH,ASIA GLOBAL HOLDINGS,ACTIVE,Common Stock
AAIR,AVANTAIR INC,ACTIVE,Common Stock
AAIRU,AVANTAIR INC UTS,ACTIVE,Unit
AAIRW,AVANTAIR INC WTS,ACTIVE,Warrant
AAMA,ASIAMART INC,ACTIVE,Common Stock
AAMU,AMERICAN AMMUNITN NV,ACTIVE,Common Stock
AANI,AMEDIA NETWORKS INC,ACTIVE,Common Stock
AAPH,AMERICAN PETRO-HUNT,ACTIVE,Common Stock
AAPT,ALL AMERICAN PET CO,ACTIVE,Common Stock
AAQS,AMERICAN ANTIQUITIES,ACTIVE,Common Stock
AARD,ACROSS AMERICA REAL,ACTIVE,Common Stock
AASP,ALL-AMER SPORTPARK,ACTIVE,Common Stock
AAXT,AAMAXAN TRANSPT NEW,ACTIVE,Common Stock
ABCC,ACCELERATED BLDG CON,ACTIVE,Common Stock
ABCP,AMBASE CORP,ACTIVE,Common Stock
ABDS,ALLEGRO BIODIESEL,ACTIVE,Common Stock
ABEW,AIRBEE WIRELESS INC,ACTIVE,Common Stock
ABHH,AMERICAN BK NT HOLOGR INC,ACTIVE,Common Stock
ABKB,AMERICAN BASKETBALL,ACTIVE,Common Stock
ABKH,AMERICAN BANK HLDGS,ACTIVE,Common Stock
ABNC,AMERICAN BANCP (LA),ACTIVE,Common Stock
ABNS,ALLIANCE BANCSHS CA,ACTIVE,Common Stock
ABOS,ARBIOS SYSTEMS INC,ACTIVE,Common Stock
ABOZ,AMERICAN BONANZA RES,ACTIVE,Common Stock
ABPA,ALLEGIANCE BANK (PA),ACTIVE,Common Stock
ABPH,ADVANCED BIOPHOTONIC,ACTIVE,Common Stock
ABTG,AMBIENT CORP,ACTIVE,Common Stock
ABTN,ALLIANCE BK & TR NC,ACTIVE,Common Stock
ABZA,ABAZIAS INC,ACTIVE,Common Stock
ACAL,AMERICA CALIFORNIABK,ACTIVE,Common Stock
ACAQ,ACORN ACQUISITION CP,ACTIVE,Common Stock
ACBC,ALBINA COMMTY BCP OR,ACTIVE,Common Stock
ACBP,AMERICAN COMM BCP IN,ACTIVE,Common Stock
ACCP,ACCESS PHARMACEUTICL,ACTIVE,Common Stock
ACCY,ALTERNATIVE CONSTRUC,ACTIVE,Common Stock
ACDQ,ARCADE ACQUISITION,ACTIVE,Common Stock
ACDQU,ARCADE ACQ CORP UNIT,ACTIVE,Unit
ACDQW,ARCADE ACQ CORP WT,ACTIVE,Warrant
ACEH,ATLANTIC COAST ENTMT,ACTIVE,Common Stock
ACFN,ACORN FACTOR INC,ACTIVE,Common Stock
ACGI,AMACORE GROUP CL A,ACTIVE,Common Stock
ACIAE,"APRECIA, INC.",ACTIVE,Common Stock
ACIE,ACIES CORPORATION,ACTIVE,Common Stock
ACII,AMERICHIP INTL INC,ACTIVE,Common Stock
ACKH,ARMSTRONG HLDG,ACTIVE,Common Stock
ACLO,ACL SEMICONDUCTOR,ACTIVE,Common Stock
ACMZ,ACHIEVERS MAGAZINE,ACTIVE,Common Stock
ACNB,ACNB CORP,ACTIVE,Common Stock
ACRI,ACRO INC,ACTIVE,Common Stock
ACTC,ADVANCED CELL TECH,ACTIVE,Common Stock
ACTN,ACTION INDUSTRIES,ACTIVE,Common Stock
ACUR,ACURA PHARMACEUTICAL,ACTIVE,Common Stock
ADBN,AMERICANA DISTRIBUTN,ACTIVE,Common Stock
ADDL,ADUDDELL INDUSTRIES,ACTIVE,Common Stock
ADGO,ADAMS GOLF INC,ACTIVE,Common Stock
ADLI,AMER MEDICAL TECH,ACTIVE,Common Stock
ADMT,ADM TRONICS UNLTD,ACTIVE,Common Stock
ADNT,ARDNET MINES LTD,ACTIVE,Common Stock
ADOV,ANDOVER MEDICAL INC,ACTIVE,Common Stock
ADRM,ADUROMED INDUSTRIES,ACTIVE,Common Stock
ADTI,ADVANCE DISPLAY TECH,ACTIVE,Common Stock
ADVB,ADVANCED BIOTHPY INC,ACTIVE,Common Stock
ADVC,ADVANCED COMMS TECH,ACTIVE,Common Stock
ADVR,ADVANCED VIRAL RESRH,ACTIVE,Common Stock
ADWT,AUTO UNDERWRITERS,ACTIVE,Common Stock
ADXS,ADVAXIS INC,ACTIVE,Common Stock
ADYN,ALGODYNE ETHANOL ENE,ACTIVE,Common Stock
AEGG,AMERICAN ENERGY NEW,ACTIVE,Common Stock
AEMD,AETHLON MEDICAL INC,ACTIVE,Common Stock
AENP,AMERICAN ENERGY PROD,ACTIVE,Common Stock
AENS,ALTERNATIVE ENERGY,ACTIVE,Common Stock
AEPW,ASIA ELEC POWER INTL,ACTIVE,Common Stock
AEXG,AMEREX GROUP INC,ACTIVE,Common Stock
AFBA,ALLIED FIRST BNCP MD,ACTIVE,Common Stock
AFDG,ABC FUNDING INC,ACTIVE,Common Stock
AFFI,AFFINITY TECH GROU,ACTIVE,Common Stock
AFIC,ATM FINANCIAL CORP,ACTIVE,Common Stock
AFMI,AFINITY MEDIA INTL,ACTIVE,Common Stock
AFMIU,AFFINITY MEDIA UT,ACTIVE,Unit
AFMIW,AFFINITY MEDIA WT,ACTIVE,Warrant
AFPC,AFP IMAGING CORP,ACTIVE,Common Stock
AFSE,ALL FUELS & ENERGY C,ACTIVE,Common Stock
AFVS,AFV SOLUTIONS INC,ACTIVE,Common Stock
AGCI,ANGELCITI ENTERTMNT,ACTIVE,Common Stock
AGFL,AMERICAN GOLDFIELDS,ACTIVE,Common Stock
AGGX,ANGIOGENEX INC,ACTIVE,Common Stock
AGLV,ACTIS GLOBAL VENTURE,ACTIVE,Common Stock
AGMB,ALONG MOBILE TECH,ACTIVE,Common Stock
AGNM,ACRONGENOMICS INC,ACTIVE,Common Stock
AGWT,ATMOSPHERIC GLOW TEC,ACTIVE,Common Stock
AGXM,ARGENTEX MINING CORP,ACTIVE,Common Stock
AHER,"ACHERON, INC",ACTIVE,Common Stock
AHFP,AMERICAN HOME FOOD,ACTIVE,Common Stock
AHLN,ARDMORE HOLDING CORP,ELIGIBLE,Common Stock
AHOM,AMERICAN HOMEPATIENT,ACTIVE,Common Stock
AHRN,"ATHERON, INC.",ACTIVE,Common Stock
AHYS,ATHERSYS INC,ACTIVE,Common Stock
AIDA,AIDA PHARMACEUTICALS,ACTIVE,Common Stock
AIDO,ADVANCED ID CORP,ACTIVE,Common Stock
AIFF,AMERI-FIRST FINCL GR,ACTIVE,Common Stock
AIRI,AIR INDUSTRIES GROUP,ACTIVE,Common Stock
AITX,AIRTRAX INC,ACTIVE,Common Stock
AIVN,AMERICAN INTL VENTUR,ACTIVE,Common Stock
AJRSF,AMERA RESOURCES,ACTIVE,Ordinary Shares
AJSB,AJS BANCORP INC (IL),ACTIVE,Common Stock
AKDS,ARKADOS GROUP INC,ACTIVE,Common Stock
AKES,AKESIS PHARMACEUTICL,ACTIVE,Common Stock
AKMN,"ASKMENOW, INC.",ACTIVE,Common Stock
AKPB,ALASKA PAC BANCSHS,ACTIVE,Common Stock
AKVA,ARKANOVA ENERGY CORP,ACTIVE,Common Stock
ALCQ,"ALCO, INC.",ACTIVE,Common Stock
ALFE,AMERICAN LIFE HLD CO,ACTIVE,Common Stock
ALHC,ALLIANCE HEALTHCARD INC,ACTIVE,Common Stock
ALIF,ARTIFICIAL LIFE INC,ACTIVE,Common Stock
ALLN,ALLIN CORPORATION,ACTIVE,Common Stock
ALLP,ALLIANCE PHARMA CP,ACTIVE,Common Stock
ALMG,ALAMOGORDO FINANCIAL CORP,ACTIVE,Common Stock
ALMI,ATLAS MINING CO,ACTIVE,Common Stock
ALOD,ALLIED RESOURCES INC,ACTIVE,Common Stock
ALPVN,ALABAMA PWR 4.60 PD,ACTIVE,Preferred Stock
ALRC,AMERICAN LORAIN CORP,ACTIVE,Common Stock
ALRG,ALLERGY RESEARCH GRP,ACTIVE,Common Stock
ALRT,ALR TECHNOLOGIES INC,ACTIVE,Common Stock
ALRX,ALPHARX INC,ACTIVE,Common Stock
ALTEO,ALLTEL CORP 2.25 CONV PFD D,ACTIVE,Preferred Stock
ALTX,ALTEX INDUSTRIES INC,ACTIVE,Common Stock
AMAR,AMARILLO BIOSCIENCES,ACTIVE,Common Stock
AMBK,AMERICAN BANK INC,ACTIVE,Common Stock
AMBKO,AMERICAN BANK INC,ACTIVE,Preferred Stock
AMBKP,AMER CAP TR I 6% PFD,ACTIVE,Preferred Stock
AMBZ,AMERICAN BUSINESS BK,ACTIVE,Common Stock
AMEC,AMECS INC,ACTIVE,Common Stock
AMFC,A M B FINANCIAL CP,ACTIVE,Common Stock
AMGO,AMG OIL LTD,ACTIVE,Common Stock
AMGU,ADS MEDIA GROUP NEW,ACTIVE,Common Stock
AMHG,AMERICAN BUSINESS HG,ACTIVE,Common Stock
AMKT,ACE MARKETING & PROM,ACTIVE,Common Stock
AMLH,AMERICAN LEISURE HLD,ACTIVE,Common Stock
AMLJ,A M L COMMUN INC,ACTIVE,Common Stock
AMMS,AMERICAN MEDIA SYSTM,ACTIVE,Common Stock
AMMY,AMERICAN METAL & TEC,ACTIVE,Common Stock
AMNT,AMISH NATURALS INC,ACTIVE,Common Stock
AMPC,AMP PRODUCTIONS INC,ACTIVE,Common Stock
AMRE,AMERIRESOURCE TECHS,ACTIVE,Common Stock
AMRU,AMARU INC,ACTIVE,Common Stock
AMSI,AMS HEALTH SCIENCES,ACTIVE,Common Stock
AMSU,AMANASU ENVIRONMENT,ACTIVE,Common Stock
AMUG,AMERICAN UNITED GOLD,ACTIVE,Common Stock
AMWW,AIMS WORLDWIDE INC,ACTIVE,Common Stock
AMXG,AMMEX GOLD MINING,ACTIVE,Common Stock
AMZO,AMAZON BIOTECH INC,ACTIVE,Common Stock
ANDR,ANDREA ELECTRONIC CP,ACTIVE,Common Stock
ANLT,ANALYTICAL SURVEYS,ACTIVE,Common Stock
ANPG,ANPATH GROUP INC,ACTIVE,Common Stock
ANRC,AMERICAN RACING CAP,ACTIVE,Common Stock
ANSU,AMANASU TECHS CORP,ACTIVE,Common Stock
